id	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_ROR2_1	MCF7_ROR2_2	MCF7_ROR2_3
ENSG00000171241.4	2196.2	2612.75	2860.15	2350.04	2164.47	2721.74
ENSG00000171243.7	6	3	0	3	7	3
ENSG00000171246.5	79	35	116	116	62	179
ENSG00000171262.7	2451.04	2735.47	2455.31	2663.3	2351.17	2593.61
ENSG00000171282.9	2243.64	3274.12	1810.08	1664.01	1545.67	2587.65
ENSG00000171291.4	32.66	45.4	33.53	33.91	34.97	29.32
ENSG00000171295.8	726.69	776.51	686.07	653.7	482.44	644.87
ENSG00000171298.8	4251	4908	4329	3886	2993	5893
ENSG00000171302.12	6647	7108	5723	5642	4153	5913
ENSG00000171303.5	21.44	26.63	18.55	40.48	18.97	27.17
ENSG00000171307.14	1767	1897	1661	1745	1168	2035
ENSG00000171310.6	95	78	89	142	76	114
ENSG00000171311.8	1181.72	1224.48	1172.99	1260.07	923.04	1255.58
ENSG00000171314.8	18159.94	18997.91	16957.49	18753.58	13908.47	19833.92
ENSG00000171316.7	4473	3749	3249	4571	2648	3858
ENSG00000171320.10	1988.57	2600.39	2137.06	1926.37	2016.1	2269.82
ENSG00000171345.9	84944.36	94845.42	70215.72	65281.17	52844.14	79769.09
ENSG00000171346.9	588.24	446.9	420.49	310.76	223.22	343.34
ENSG00000171357.5	6.19	9.03	8.46	13.31	11.14	13.47
ENSG00000171360.3	0	0	1.13	0	0	0
ENSG00000171365.10	560.59	631.64	595.18	658.71	573.36	792.81
ENSG00000171368.10	96.72	152.26	96.4	105.78	71.74	114.72
ENSG00000171385.5	81.78	86.74	67.02	73.6	30.12	57.96
ENSG00000171388.9	17	15	13	9	8	14
ENSG00000171396.10	0	0	0	0	0	0
ENSG00000171401.10	156.51	109.4	119.42	85	90.71	140.13
ENSG00000171402.10	0	0	0	0	0	0
ENSG00000171403.5	7	5	6	2	4	8
ENSG00000171405.8	3.07	5.39	4.53	2.38	5.12	1.24
ENSG00000171408.9	29.1	31.49	14.26	25.98	16.73	31.58
ENSG00000171421.8	1125	889.76	1119.81	1098.83	700	1202.72
ENSG00000171425.5	619.26	551.15	479.68	601.81	419.66	720.67
ENSG00000171428.9	681	817	772	748	657	1158
ENSG00000171431.3	12	35	12	8	6	8
ENSG00000171433.7	13	14	7	13	5	11
ENSG00000171435.9	689.01	801.97	635.14	689.27	479.92	870.37
ENSG00000171443.6	275.99	292.18	262.18	226.71	144.27	318.6
ENSG00000171444.13	712.67	983.45	708.84	752.21	580.91	743.13
ENSG00000171446.6	0	0	0	0	0	0
ENSG00000171448.8	1755	2010	1642	1875	1569	2001
ENSG00000171450.4	2	6	10	7	4	8
ENSG00000171451.13	22.48	34.2	16.46	22.86	15.55	14.54
ENSG00000171453.13	1761.95	1401.05	1661.53	2192.15	1165.99	1969.92
ENSG00000171456.12	3159	3576	3145	2998	2280	3396
ENSG00000171459.3	0	1	0	0	0	0
ENSG00000171462.10	80.74	84.17	73.22	95.79	52.32	91.09
ENSG00000171466.5	1143.3	1274.27	1136.32	1222.74	909.12	1254.21
ENSG00000171467.11	2620.98	3207.95	2987.71	2614.2	2004.51	3434.41
ENSG00000171469.6	875.77	971.74	865.38	903.46	696.81	986.66
ENSG00000171471.5	185.18	174.47	173.71	222.19	109.59	257.77
ENSG00000171475.9	2536.37	2778.71	2381.8	2380.76	1809.61	2848.02
ENSG00000171476.17	18.15	42.74	34.65	36.03	24.05	37.47
ENSG00000171478.7	0	0	0	2	0	0
ENSG00000171481.2	0	0	0	0	0	0
ENSG00000171483.8	3.97	4.62	2.92	7.26	6.75	3.37
ENSG00000171484.3	0	0	0	0	0	0
ENSG00000171487.10	2	1.06	0	2	0	3
ENSG00000171488.10	97	79	95	111.41	89	89
ENSG00000171489.6	2	0	1	0	0	1
ENSG00000171490.8	12716.88	10400.01	11565.31	13393.36	9914.06	12294.75
ENSG00000171492.10	1274	1153	1062	1498	1001	1253
ENSG00000171495.12	0	0	0	0	1	0
ENSG00000171496.2	0	0	0	0	1	0
ENSG00000171497.4	1793.07	1751.17	1582.38	2064.47	1537.7	1884.33
ENSG00000171501.7	0	0	0	0	0	0
ENSG00000171502.10	16	11	10	6	5	10
ENSG00000171503.7	847.53	848.77	898.21	794.97	534.82	977.75
ENSG00000171505.4	0	1	0	0	0	0
ENSG00000171509.11	0	1	0	1.59	1	1
ENSG00000171517.5	4	10.31	10.5	3.11	3.19	2.04
ENSG00000171522.5	109.24	142.19	118.75	179	106.57	180.89
ENSG00000171530.9	5750.31	6186.98	5447.3	5216.45	4419.85	5893.18
ENSG00000171532.4	1	0	1	0	0	1
ENSG00000171533.7	49	45	49	46	35	55
ENSG00000171540.6	14	11	10	5	5	3
ENSG00000171551.7	54	57	72	53	53	107
ENSG00000171552.8	3713	4084	3959	2910	2059	3495
ENSG00000171557.12	0	0	0	0	0	0
ENSG00000171560.10	0	0	0	0	0	0
ENSG00000171561.3	0	0	0	0	0	0
ENSG00000171564.7	1	0	1	0	0	0
ENSG00000171566.7	1957	2158	1919	2145	1668	2133
ENSG00000171570.6	17.02	25.48	20.57	33.72	17.6	12.71
ENSG00000171574.13	470.09	464.99	425.2	509.19	301.38	473.52
ENSG00000171587.10	8357	10038	6909	6257	4786	7377
ENSG00000171595.9	0	0	0	0	0	0
ENSG00000171596.6	13.34	17.93	15.26	11.75	3.01	15.44
ENSG00000171603.12	8016.76	8781.64	6369.8	6618.68	5025.94	7882.93
ENSG00000171604.7	7388.76	7511.35	5841.23	7239.41	6189	7634.51
ENSG00000171606.13	1534.3	1876.54	1534.31	1617.65	1232	1777.97
ENSG00000171608.11	117.02	137.86	130.41	100.32	82.22	137.67
ENSG00000171611.5	1	0	0	0	0	0
ENSG00000171612.6	417.31	446.19	487.63	443.31	308.8	445.6
ENSG00000171617.9	2055.9	3326.89	2674.1	1732.02	2213.66	3104.91
ENSG00000171621.9	719	811	662	530	475	756
ENSG00000171631.10	173	281	198	176	179	310.97
ENSG00000171634.12	18552.66	21922.53	18237.87	18968.49	14902.2	23117.03
ENSG00000171643.9	0	0	0	0	0	0
ENSG00000171649.7	1.02	0	0	4.22	0	3.04
ENSG00000171657.5	43.13	58.95	51.63	47.68	34.2	60.16
ENSG00000171658.4	1	2	2	2	3	0
ENSG00000171659.9	1	1	0	0	1	1
ENSG00000171671.6	16.46	26.29	12.68	15.55	12.55	19.6
ENSG00000171680.16	569.57	581.32	493.51	412.74	288.16	655.97
ENSG00000171681.8	2979.4	4020.88	2911.7	3136.71	2531.12	3431.16
ENSG00000171695.6	8	10	17	14	11	14
ENSG00000171700.9	1333	1261	1335	1133	803	1454
ENSG00000171703.12	1892	1939	1691	1889	1244	2193
ENSG00000171711.2	0	0	0	0	0	0
ENSG00000171714.10	1	0	0	0	1	0
ENSG00000171720.4	2706.53	2940.18	2796.68	2338.4	1765	3004.53
ENSG00000171722.6	46	74	45	46	27	43
ENSG00000171723.11	1567.97	1567.45	1430.33	1628.7	1080.08	1596.63
ENSG00000171724.2	180	110	202	178	159	252
ENSG00000171729.9	428	393	454	409	266	416
ENSG00000171735.14	1544	1252	1462	1409	937	1498
ENSG00000171747.4	25.76	21.39	13.12	19.17	15.58	16.29
ENSG00000171757.11	28.73	27.11	31.48	30.86	18.49	23.19
ENSG00000171759.4	5	8	17	5	5	11
ENSG00000171763.13	426	399	427	456	342	437
ENSG00000171766.11	12.03	21.02	19	26	24	29
ENSG00000171772.11	0	0	0.72	0	0	0
ENSG00000171773.2	1	0	0	0	0	0
ENSG00000171777.11	26.69	46.56	26.52	46.87	22.04	42.74
ENSG00000171786.5	7	3	8	9	7	9
ENSG00000171790.11	31	38	47	45	24	36
ENSG00000171791.10	117	150	107	171	159	222
ENSG00000171792.6	2316.38	2672.87	2596.83	2185.1	1815.56	2806.82
ENSG00000171793.9	4730	3746	4798	3777	2712	3879
ENSG00000171794.3	0	0	0	0	0	0
ENSG00000171798.13	245	298	208	236	221	366
ENSG00000171804.5	2	3	3	7	4	8
ENSG00000171806.7	684.96	722.28	644.26	674.81	539.44	686.05
ENSG00000171811.8	29	20	21	33	21	31
ENSG00000171812.6	3	0	1	1	1	1
ENSG00000171813.10	1253	1388	1056	1162	815	1351
ENSG00000171815.3	2	4	3	1	2	4
ENSG00000171817.12	14.69	12.46	9.19	7.6	14.2	8.25
ENSG00000171819.4	1	1	4	6	1	0
ENSG00000171823.6	526	570	474	528	341	583
ENSG00000171824.9	3785.49	4404.51	3868.05	3015.14	2538.65	3801.33
ENSG00000171827.6	31	37	35	52	33	29
ENSG00000171840.7	0	0	0	0	0	0
ENSG00000171843.11	1154	1573	1364	895	960	1467
ENSG00000171847.6	2.04	3.24	3.12	1.6	3.11	2.55
ENSG00000171848.9	14352.13	16761.44	16122.77	14623.79	13230.39	17096.65
ENSG00000171853.11	1446.03	1733	1407	1617.41	1199.32	1822.16
ENSG00000171855.5	0	0	0	0	0	0
ENSG00000171858.13	30148.93	27854.94	25957.97	25247.98	17297.97	28823.93
ENSG00000171860.4	1	1	2	1	2	2
ENSG00000171861.6	1219.57	1221.92	1302.03	1196.04	830	1417.02
ENSG00000171862.5	3754.28	4559.51	3644.05	3890.68	3644.01	4438.32
ENSG00000171863.8	33415.94	32118.21	29204.08	34801.68	25533.29	38392.53
ENSG00000171864.4	15.36	17.6	16.05	15.34	4.78	9.58
ENSG00000171865.5	2167.46	2079.47	2191.9	2449.86	1663.68	2542.54
ENSG00000171867.12	1353	1078	1233	1731	1258	1667
ENSG00000171872.4	1.11	2.26	5.07	3.25	1.03	5.18
ENSG00000171873.6	1	1	0	1	1	0
ENSG00000171877.15	145	189	165	266	154	209
ENSG00000171885.9	0	0	0	0	1	0
ENSG00000171889.3	0	0	0	0	0	0
ENSG00000171903.11	457.06	492.69	314.7	456.67	382.95	506.66
ENSG00000171914.10	771.04	954.24	676.44	756.41	637.92	843.1
ENSG00000171916.12	0	1.15	0	0	0	1
ENSG00000171928.9	1793.61	1977.88	1875.68	1759.51	1473.92	1907.74
ENSG00000171931.8	22.08	9.79	17.32	36.66	14.78	19.87
ENSG00000171936.1	0	0	0	0	0	0
ENSG00000171940.9	23753.39	28066.11	21852.81	22203.87	17583.2	24532.25
ENSG00000171942.3	0	0	0	0	1	0
ENSG00000171943.7	381.53	467.14	341.41	309.1	304.38	400.96
ENSG00000171944.1	0	0	0	0	0	0
ENSG00000171951.4	14	12	9	11	13	18
ENSG00000171953.11	833.03	884.81	831.98	801.44	563.26	1059.03
ENSG00000171954.7	6	7	11	7	5	6
ENSG00000171956.5	0	0	0	0	0	0
ENSG00000171960.6	1714.97	1906.94	1749.97	1457.96	1158.99	1541.95
ENSG00000171962.13	127.13	168.11	85.04	87.5	72.68	114.42
ENSG00000171970.8	212.95	213.7	176.43	231.92	159.64	209.26
ENSG00000171984.10	67.11	103.29	92.06	79	50.35	111.13
ENSG00000171987.1	0	0	0	0	0	0
ENSG00000171988.13	2242	2600	2061	2543	2036	2582
ENSG00000171989.4	3	8	4	2	2	6
ENSG00000171992.8	81.33	79.15	111.97	197.25	107.93	202.87
ENSG00000171999.6	0	0	0	0	0	0
ENSG00000172000.3	0	0	0	0	0	1.03
ENSG00000172005.6	2	2	2	3	3	8
ENSG00000172006.7	225.71	226.48	183.1	172.63	148.89	239.09
ENSG00000172007.5	783.55	880.22	750.98	851.55	602.01	915.53
ENSG00000172009.10	2387	2356.38	2084.08	2138.5	1418.15	2466.13
ENSG00000172014.11	23.19	31.12	27.21	16.26	18.62	22.44
ENSG00000172016.11	0	0	0	0	0	0
ENSG00000172020.8	0	0	0	0	0	0
ENSG00000172023.3	0	0	0	0	0	0
ENSG00000172031.6	50	79	80.4	88	79	131.22
ENSG00000172037.9	4714	5506	3497	3683	2733	5378.85
ENSG00000172046.14	2665	3104	2443	2304	1688	2867
ENSG00000172053.10	5671	5350	4767	4536	2959	5588
ENSG00000172057.5	1111	1140	1137	1089	752	1219
ENSG00000172058.11	30.59	30.44	36.99	24.12	17.93	37.22
ENSG00000172059.6	730.69	899.43	625.79	718.83	524.97	783.02
ENSG00000172061.7	38	55	44	83	61	35
ENSG00000172062.12	3313.19	3022.08	3260.45	2893.52	2117.26	3179.38
ENSG00000172071.7	2215.41	2398	2209.07	2349.25	1724.23	2569.21
ENSG00000172073.3	0	0	1	1	0	0
ENSG00000172081.9	738.76	750.68	718.41	641.84	537.33	875.73
ENSG00000172086.7	2027	2408	2181	2059	1763	2235
ENSG00000172113.4	801.42	888.79	756.42	769.07	556.26	808.06
ENSG00000172115.4	11482.95	10672.51	11767.44	11934.64	9571.72	10261.59
ENSG00000172116.17	0	0	0	0	0	0
ENSG00000172123.8	2	3	2	2	1	1
ENSG00000172137.14	2	1	0	1	3	5
ENSG00000172139.10	0	0	0	0	0	0
ENSG00000172146.1	0	0	0	0	0	0
ENSG00000172148.2	0	0	0	0	0	0
ENSG00000172150.4	0	0	0	0	0	0
ENSG00000172154.3	0	0	0	0	0	0
ENSG00000172155.7	0	0	0	0	0	0
ENSG00000172156.3	0	0	0	0	0	0
ENSG00000172159.11	58	58	78	59	78	139
ENSG00000172164.9	13	19.34	12	13.59	6	16.91
ENSG00000172167.3	785.05	1030.02	877.94	748.52	626.25	787.02
ENSG00000172171.6	376.01	403.94	428.78	437.72	341.11	430.73
ENSG00000172172.3	2357	2434	2342	2323	1745	2277
ENSG00000172175.8	572	662.95	614.82	579.84	504	618.94
ENSG00000172179.7	0	0	0	0	0	0
ENSG00000172183.10	424.18	415.17	290.76	341	244.53	328.26
ENSG00000172186.7	2.21	5.49	6.59	2.21	3.38	5.5
ENSG00000172188.4	0	0	0	0	0	0
ENSG00000172197.9	2304.54	1706.98	2035.52	1882.17	1045.07	1765.56
ENSG00000172199.1	0	0	0	0	0	0
ENSG00000172201.6	319	469	515	219	198	381
ENSG00000172208.3	0	0	0	0	0	0
ENSG00000172209.4	0	9	3	9	3	3
ENSG00000172215.5	23	34	21	35	28	29
ENSG00000172216.4	938.79	1233.64	1114.82	855.86	1157.78	902
ENSG00000172232.5	18.76	22.99	17.65	14.89	19.54	19.82
ENSG00000172236.12	0	2	2.13	1	0	0
ENSG00000172238.3	0	0	0	0	0	0
ENSG00000172239.9	5341.81	5491.74	5270.85	5208	4196.1	5213
ENSG00000172243.13	12.84	16.45	20.71	18.64	11.14	16.53
ENSG00000172244.4	509.41	656.38	519.2	354.38	419.82	481.07
ENSG00000172247.3	2	5	1	1	2	3
ENSG00000172250.10	14.84	6.64	10.53	9.84	8.34	6.15
ENSG00000172260.8	0	0	0	0	0	0
ENSG00000172262.7	2313.9	2373.6	2100.56	1998.3	1550.79	2037.11
ENSG00000172264.12	535.94	791.17	496.98	408.69	427.6	533
ENSG00000172269.12	3519.51	3212.61	3055.04	3414.89	2230.26	3755.16
ENSG00000172270.14	27305.34	27427.02	22029.91	29966.29	19115.14	29608.33
ENSG00000172273.8	1341.44	1664.58	1308.08	1311.32	995.61	1572.74
ENSG00000172283.9	0	0	0	0	0	0
ENSG00000172288.6	0	0	0	0	0	0
ENSG00000172289.2	0	0	0	0	0	0
ENSG00000172292.10	4383.9	4414.46	4153.82	4149.33	3106.81	4248.31
ENSG00000172294.6	0	0	0	0	0	0
ENSG00000172296.8	56.05	64.89	41.57	36.53	37.22	44.36
ENSG00000172297.6	1.13	0	0	0	1.17	0.01
ENSG00000172301.6	735	758	782	859	713	826
ENSG00000172315.5	1438.89	1432.34	1510.5	1555.48	1203.88	1628.57
ENSG00000172318.3	1	0	2	1	2	0
ENSG00000172320.2	0	0	0	0	0	0
ENSG00000172322.9	1.71	1	1	3	2	1
ENSG00000172324.4	0	0	0	0	0	0
ENSG00000172331.7	312	350	386	286	251	343
ENSG00000172332.8	0	1.16	0	0	0	0.01
ENSG00000172336.4	2410	2463	2236	2556	1899	2861
ENSG00000172339.8	201	214	164	206	142	214
ENSG00000172340.10	2721	2747	2528.51	2934	2404	3116.52
ENSG00000172342.5	0	0	0	0	0	0
ENSG00000172345.9	316.64	381.43	258.96	230.18	204.06	314.69
ENSG00000172346.10	2.34	2.87	3	2	0	3
ENSG00000172348.10	0	3	2	2	2	2
ENSG00000172349.12	28.53	29.67	22.98	16.42	15.55	19.28
ENSG00000172350.5	3	3	4	2	2	4
ENSG00000172352.5	0	0	0	0	0	0
ENSG00000172354.5	15272.93	17073.43	14209.97	14792.13	10787.83	18017.82
ENSG00000172361.5	40	50	37	46	30	47
ENSG00000172362.2	0	0	0	0	0	0
ENSG00000172365.2	0	0	0	0	0	0
ENSG00000172366.15	869	793	902	964	707	935.95
ENSG00000172367.11	2	4	3	2	2	5.13
ENSG00000172375.8	1530.39	1501.69	1349.46	1442.24	858.54	1468.5
ENSG00000172377.1	0	0	0	0	0	0
ENSG00000172379.14	2914.17	2388.28	2563.39	2742.3	1552.6	2735.63
ENSG00000172380.5	2625	2532	2624	2187	1922	2648
ENSG00000172381.3	0	0	0	0	0	0
ENSG00000172382.5	169.91	126.71	127.35	141.8	82.24	109.01
ENSG00000172399.5	4	3	3	4	5	9
ENSG00000172403.6	634.2	513.7	572.79	619.37	512.16	1229.07
ENSG00000172404.4	6.87	11.56	7.88	2.62	6.88	12.35
ENSG00000172409.5	421	418	444	415	363	515
ENSG00000172410.4	0	0	0	0	0	0
ENSG00000172421.3	19.93	16.8	16.87	11.92	7.44	11.01
ENSG00000172425.6	13.89	21.19	25.79	16.71	14.01	30.99
ENSG00000172426.11	17.04	28.17	18.15	27.37	16.71	31.13
ENSG00000172428.6	1394	1439	1378	1586	1235	1776
ENSG00000172432.14	2512.78	3064.66	2518.74	2203.86	1683.43	2942.51
ENSG00000172456.12	323.33	338.95	300.52	216.33	183.5	309.33
ENSG00000172457.5	0	0	0	0	0	0
ENSG00000172458.4	620	590	631	906	604	769
ENSG00000172459.2	0	0	0	0	0	0
ENSG00000172460.10	21	14	6	20	5	11
ENSG00000172461.6	1646.63	1730.98	2186.63	2228.38	1879.18	2883.18
ENSG00000172464.2	0	0	0	0	0	0
ENSG00000172465.9	1266.66	1299.23	1134.39	1445.99	1008.26	1591.42
ENSG00000172466.11	5777	6779	5431	5891	4992	6223
ENSG00000172468.9	0	1	0	0	1.01	0
ENSG00000172469.10	847	879	815	958	905	1019
ENSG00000172476.3	22.42	25.09	24.48	21.04	16.62	30.65
ENSG00000172478.13	82	38	47	106.53	51.77	87
ENSG00000172482.4	13.75	15.29	15.41	28.18	10.17	15.07
ENSG00000172487.3	0	0	0	0	0	0
ENSG00000172489.5	0	0	0	0	0	0
ENSG00000172493.16	2227	2996	2078	1718	1529	1998
ENSG00000172497.4	2	2	1	0	0	5
ENSG00000172500.8	3378.02	3551.76	2858.57	3087.97	2183.12	3613.24
ENSG00000172508.6	84	119.14	81.82	87.04	53	116.17
ENSG00000172519.8	0	0	0	2	0	0
ENSG00000172530.15	668.87	891.82	825.75	637.04	537.78	921.49
ENSG00000172531.10	15456.44	18286.26	15723.6	15265.86	11416.56	18656.89
ENSG00000172534.9	9561	11052	8690	8252	5952	10561
ENSG00000172538.6	0	0	0	0	0	0
ENSG00000172543.3	6.13	13.58	12.42	12.39	1.35	13.36
ENSG00000172548.10	0	0	2	0	0	0
ENSG00000172551.6	28	19	26	8	4	13
ENSG00000172554.7	0	2	1	0	0	1
ENSG00000172568.4	6	9	7	6	5	7
ENSG00000172572.6	1.07	2	1.03	1	0	1
ENSG00000172575.7	1342.75	621.54	667.83	3005.58	1839.67	1801.69
ENSG00000172578.7	72.39	78.3	64.77	63.11	39.57	68.12
ENSG00000172586.7	1495	1428	1305	1456	1175	1539
ENSG00000172590.14	1845.9	1825.84	1724.87	2018.42	1522.18	2184.2
ENSG00000172594.8	274	247	211	319	212	290
ENSG00000172602.5	139.04	103.87	92.91	195.88	152.01	180.2
ENSG00000172613.3	1821.27	1958.08	1461.79	1692.08	1248.72	2014.49
ENSG00000172638.8	47	54	32	18	32	55
ENSG00000172640.2	1	6	3	4	4	7
ENSG00000172650.8	328.91	364.53	274.2	320.14	227.66	261.36
ENSG00000172653.7	2	2	6.49	2	1	0
ENSG00000172660.7	10636.38	10657.95	9925.06	10382.97	7146.46	10786.88
ENSG00000172661.13	1028.35	1181.16	1025.87	1483.28	1150.9	1638.54
ENSG00000172663.4	1561.57	1695.89	1270.39	1235.61	907.52	1700.61
ENSG00000172667.6	1510.17	1573.45	1581.16	1510.93	1169.29	1803.44
ENSG00000172671.15	90.98	115.39	107.92	162.19	138.88	157.71
ENSG00000172673.6	4.01	12.13	6.26	6.33	1.12	8
ENSG00000172680.1	0	0	0	0	0	0
ENSG00000172687.9	598.71	752.81	583.56	562.47	528.69	638.23
ENSG00000172689.1	17.58	28.17	14.74	7.81	10.37	8.24
ENSG00000172716.12	438.5	431.4	350.88	305.58	230.25	352.97
ENSG00000172717.11	6.72	8.99	8.69	6.88	8.93	7.13
ENSG00000172724.7	1	0	0	0	2	1
ENSG00000172725.9	8910	9284	8333	7389	4598	9478
ENSG00000172728.11	236.88	241.39	195	221	163	242
ENSG00000172731.9	801	888	625	719	472	770
ENSG00000172732.7	1474.74	1594.98	1493.8	1326.78	1039.38	1821.92
ENSG00000172733.10	0	0	0	1	1	0
ENSG00000172738.7	6.36	16.19	9.22	13.58	8.42	19.25
ENSG00000172742.4	0	0	0	0	0	0
ENSG00000172746.6	4.31	1.14	3.39	3.25	2.37	3.23
ENSG00000172748.7	374.06	434.78	340.1	471.25	296.33	463.42
ENSG00000172752.10	1	0	0	0	0	0
ENSG00000172757.8	58655.85	59102.23	54640.42	63166.09	44110.77	64718.94
ENSG00000172765.12	2485	2539	2274	2440	1706	2662
ENSG00000172766.14	1542.49	1489.86	1491.06	1562.74	1143.57	1631.56
ENSG00000172769.2	0	0	0	0	0	0
ENSG00000172771.7	70.88	73.99	50.82	52.72	41.48	78.48
ENSG00000172772.3	0	0	0	0	0	0
ENSG00000172774.6	0	0	0	0	0	0
ENSG00000172775.12	2749.3	3168.04	2509.09	2687.89	2054.93	2927.85
ENSG00000172780.12	1035.89	1094.25	992.03	911.53	650.45	1398.64
ENSG00000172782.7	11.85	15.95	11	7.66	5.5	16.24
ENSG00000172785.14	2277.43	2187.03	2647.53	3000.16	2046.26	3260.21
ENSG00000172789.2	38.42	31.02	21.68	47.63	20.37	37.83
ENSG00000172794.15	214.06	152.02	165.03	187.08	112.05	239.36
ENSG00000172795.11	4905	5714.78	4906.07	3760.62	3717.02	5134.69
ENSG00000172799.5	0	1.1	0	0	0	0
ENSG00000172803.13	44.28	47.71	38.75	29.9	18.81	34.18
ENSG00000172809.8	16730.53	15733.58	14833.62	17473.34	12456.87	17320.99
ENSG00000172817.3	0	0	0	0	0	0
ENSG00000172818.5	875.42	966.42	800.77	715.4	510.86	1005.4
ENSG00000172819.12	4178	4223	4351	3761	2488	5264
ENSG00000172824.10	283.3	363.25	269.97	186.05	118.78	259.08
ENSG00000172828.8	62.91	50.98	24.6	56.71	43.2	40.47
ENSG00000172830.8	5876	6003	5604	5488	3806	7527
ENSG00000172831.7	1239.84	1307.13	1074.24	1156.16	818.69	1337.63
ENSG00000172840.2	402.72	418.33	476.23	543.06	376.48	535.4
ENSG00000172845.9	6993	8008.98	6735	7168	5998	7690
ENSG00000172867.3	0	1	0	1	0	1
ENSG00000172869.10	3332	4057	3402	3089	2588	3936
ENSG00000172878.9	414	341	333	449	342	514.89
ENSG00000172888.7	1416.48	1425.46	1474.63	1521.64	1117.7	1547.85
ENSG00000172889.11	1367	1323	1329	1498	1015	2096
ENSG00000172890.7	7890.03	9192.94	6244.69	6164.93	4432.69	7582.87
ENSG00000172893.11	15161	15153	14431	14136	8737	16030
ENSG00000172900.7	17.78	25.17	18.2	31.01	9.14	22.79
ENSG00000172901.15	27	40	27	19	16	30
ENSG00000172912.4	0	0	0	0	0	0
ENSG00000172915.14	3392.4	3699.91	3518.01	4394.43	3435.31	5758.64
ENSG00000172922.4	2349.62	2562.39	2215.06	2210.64	1606.57	2687.78
ENSG00000172927.3	91	84	45	68	56	39
ENSG00000172932.10	2903.42	3114.65	2616.73	2334.99	1721.96	3085.68
ENSG00000172935.8	4	5	8.38	3	1.09	6
ENSG00000172936.8	2166	2286	1955	2168	1445	2407
ENSG00000172938.3	0	1	0	0	0	1
ENSG00000172939.4	4596	4958	4565	4341	3261	4838
ENSG00000172940.7	5	5	3	9	4	3
ENSG00000172943.14	3372	3736	3167	3334	2279	3822
ENSG00000172954.9	1220.07	1279.63	1213.55	1324.63	1176.67	1444.97
ENSG00000172955.13	7	6	6	7	7	4
ENSG00000172965.9	591.63	601.77	513.18	686.11	625.09	948.91
ENSG00000172967.7	1	1	0	0	0	0
ENSG00000172969.3	4.91	5.8	4	7	12.09	8.86
ENSG00000172971.7	4.21	7.5	7.06	8.54	2.86	13.67
ENSG00000172974.10	54.12	31.68	41.38	40.7	12.17	73.15
ENSG00000172977.8	2248.38	2686.61	1995.94	2260.36	1503.43	2365.22
ENSG00000172985.8	0	1	1	0	0	0
ENSG00000172986.8	55.02	93.59	86.45	112.6	73.87	159.49
ENSG00000172987.8	1	0	0	1	2	0
ENSG00000172992.7	1494.68	1530.69	1237.89	1244.43	751.8	1391.77
ENSG00000172995.12	0	1	4	4	1	6
ENSG00000173011.11	1539.82	1611.47	1604.99	1540.91	1157.15	1670.5
ENSG00000173013.4	98	65.03	96	104.9	52	76.58
ENSG00000173020.6	6951.09	7598.1	7156.45	6018.27	4410.05	7633.34
ENSG00000173039.14	3836.93	3789	3650.96	3829	2620.95	4220
ENSG00000173040.8	0	0	0	0	0	0
ENSG00000173041.7	1229.74	1291.79	1176.42	1256.8	1222.59	1308.39
ENSG00000173064.6	4766.06	6541.55	4145.73	4700.94	3712.38	5789.52
ENSG00000173065.9	1088	923	923	1054	670	1179
ENSG00000173068.13	2.01	0	0	1	0	0
ENSG00000173077.10	4.05	8.56	6.09	6.27	7.1	7.18
ENSG00000173080.4	0	3	0	0	1	2
ENSG00000173083.10	131.16	205.78	178.79	120.13	153.59	156.78
ENSG00000173085.9	1130	1273	1371	1385	1166	1419
ENSG00000173088.8	11.08	9.06	20.24	14	8	10
ENSG00000173093.8	227	282	184	226	182	238
ENSG00000173110.6	21.16	34.28	15	24.4	84.81	29.74
ENSG00000173113.2	7970.25	8529.82	6964.32	7805.56	6157.5	8476.82
ENSG00000173114.8	0	4	3	3	0	3
ENSG00000173120.10	12171.37	13933.93	11685.59	13195.19	9558.46	14948.44
ENSG00000173124.10	8	6	8	3	7	18
ENSG00000173137.7	761	920	651	560	395	733
ENSG00000173141.4	3062.08	3143.49	2832.7	3396.91	2571.4	3737.9
ENSG00000173145.7	1220	1068	1153	1551	1221	1297
ENSG00000173153.9	1897.58	1520.23	1702.66	1990.14	1274.49	2181.34
ENSG00000173156.2	2552	2537	2138	3206	2322	3369
ENSG00000173157.12	60	83	67	59	47	62
ENSG00000173163.6	775.97	867.76	854.75	911.19	734.35	1013.87
ENSG00000173166.13	3149.31	3512.15	2326.71	3416.07	2304.7	3056.08
ENSG00000173171.9	2097.62	2138.1	1948.54	1783.07	1236.92	2232.06
ENSG00000173175.10	2608	1012	2559	4211	1598	3615
ENSG00000173193.9	293.24	295.28	231.23	503.67	341.12	371.68
ENSG00000173198.4	820.08	1186.55	899.76	969.05	753.55	949.37
ENSG00000173200.8	97.79	142.46	108.51	105.43	66.44	125.09
ENSG00000173207.8	5550.57	7158.77	6081.93	5397.88	4780.71	6132.48
ENSG00000173208.3	1	2	3	0	1	3
ENSG00000173209.17	2931	3748.3	2609.11	2209.31	1860.99	3148.38
ENSG00000173210.15	680	978.95	640.98	414.98	495.99	632.99
ENSG00000173212.4	1000.94	1062.89	1077.87	1139.46	896.82	1073.49
