id	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_ROR2_1	MCF7_ROR2_2	MCF7_ROR2_3	pval	qval
ENSG00000226726	0.0	3.0	2.0	1.0	0.0	1.0	0.4939279258058202	1.0
ENSG00000115232	0.0	3.0	2.0	1.0	0.0	1.0	0.4939279258058202	1.0
ENSG00000202429	1.0	0.0	0.0	4.0	0.0	0.0	0.493928281877463	1.0
ENSG00000266905	1.0	0.0	0.0	4.0	0.0	0.0	0.493928281877463	1.0
ENSG00000229696	1.0	0.0	0.0	4.0	0.0	0.0	0.493928281877463	1.0
ENSG00000187626	342.89	358.95	318.09	291.84	236.23	353.76	0.4940043944442862	1.0
ENSG00000251580	65.25	53.16	67.3	58.05	34.3	63.16	0.49404546478066086	1.0
ENSG00000198720	276.0	205.0	276.0	315.0	147.0	356.0	0.49410323257121264	1.0
ENSG00000226045	0.0	2.0	1.0	0.0	1.0	6.0	0.4942113283116628	1.0
ENSG00000260051	24.83	21.31	18.13	15.81	11.47	24.25	0.494289228771868	1.0
ENSG00000266993	74.7	82.81	54.54	58.61	44.42	72.24	0.49432281176499976	1.0
ENSG00000234026	9.0	8.0	14.0	11.0	13.0	12.0	0.49434189150032815	1.0
ENSG00000167085	17193.96	15280.92	15422.84	17592.09	11886.06	17458.88	0.49436470019549317	1.0
ENSG00000165650	1425.64	1325.37	1402.25	1473.97	1058.84	1554.81	0.4943698230817409	1.0
ENSG00000174238	4332.94	4172.4	4249.86	4672.8	3109.17	4729.11	0.4944230233036013	1.0
ENSG00000119969	3535.55	3536.84	3214.64	3613.17	2864.94	3459.38	0.49443627269183565	1.0
ENSG00000227128	2.0	3.0	0.0	0.0	1.0	1.0	0.49444295265103827	1.0
ENSG00000270589	29.0	53.0	30.0	35.0	17.0	37.0	0.49450450518336453	1.0
ENSG00000219273	5.0	2.27	2.28	1.01	0.0	4.06	0.4945315820455394	1.0
ENSG00000271982	97.39	57.85	76.5	100.62	28.19	56.31	0.49463756207050097	1.0
ENSG00000177628	3515.39	3809.41	3552.38	3440.41	2203.57	4088.01	0.4946653313726809	1.0
ENSG00000216937	111.75	140.84	104.71	135.4	103.57	122.57	0.49466889421812216	1.0
ENSG00000258439	3.0	3.0	5.0	3.0	2.0	2.0	0.4946692346862396	1.0
ENSG00000223387	3.0	3.0	5.0	3.0	2.0	2.0	0.4946692346862396	1.0
ENSG00000231473	3.0	3.0	5.0	3.0	2.0	2.0	0.4946692346862396	1.0
ENSG00000144214	10.0	12.0	8.0	19.0	6.0	12.0	0.494717291329481	1.0
ENSG00000169188	2055.45	2217.19	1887.7	1894.95	1373.57	2209.93	0.49479272740517355	1.0
ENSG00000107937	9919.23	8045.13	9528.35	10641.69	7248.65	9337.12	0.4948496313323366	1.0
ENSG00000090534	5.0	4.0	2.0	2.0	2.0	3.0	0.4948508266975853	1.0
ENSG00000171208	1505.37	1332.98	1469.22	1574.99	1125.89	1544.7	0.49487011541547304	1.0
ENSG00000259505	0.0	2.0	0.0	3.0	1.0	1.0	0.4948898517613656	1.0
ENSG00000243402	0.0	2.0	0.0	3.0	1.0	1.0	0.4948898517613656	1.0
ENSG00000272240	38.0	67.0	53.0	52.0	23.0	54.0	0.4949077639073934	1.0
ENSG00000050555	6.2	12.65	5.01	8.04	7.83	13.14	0.49498586697825875	1.0
ENSG00000218728	4.14	5.06	2.05	3.02	2.1	2.0	0.4949945284896203	1.0
ENSG00000237222	2.0	2.25	5.68	7.18	3.31	3.76	0.49502396822290656	1.0
ENSG00000196372	2034.0	1624.0	1808.0	2310.0	1221.0	2022.0	0.4950586764704997	1.0
ENSG00000126562	37.39	43.05	21.89	56.69	16.3	44.23	0.4950890083590235	1.0
ENSG00000185031	3.0	1.0	1.0	0.0	0.0	2.0	0.495137136240485	1.0
ENSG00000233971	20.02	20.16	17.03	17.12	8.72	19.47	0.4951474267462077	1.0
ENSG00000167088	3627.68	3658.98	3552.95	3832.93	3038.1	3619.38	0.49521713053864125	1.0
ENSG00000137310	3003.54	3160.92	3033.64	2869.77	2107.0	3223.81	0.49524322385536523	1.0
ENSG00000125247	670.02	734.0	545.0	576.99	482.0	615.0	0.4952667707088878	1.0
ENSG00000167656	21.12	22.12	6.27	7.0	13.0	13.8	0.4952920997472808	1.0
ENSG00000238578	0.0	1.62	0.0	3.61	0.0	0.0	0.4953082929007226	1.0
ENSG00000036530	187.73	222.4	230.68	202.24	167.45	287.92	0.49531895779887747	1.0
ENSG00000248568	27.43	42.39	32.0	28.54	21.42	31.5	0.49533949126035115	1.0
ENSG00000159082	1284.0	1236.0	1157.0	1142.0	861.0	1239.0	0.49534909798798155	1.0
ENSG00000148541	1.0	6.14	3.07	3.39	5.0	6.0	0.4953743232936037	1.0
ENSG00000149201	48.44	53.42	42.4	54.67	40.09	55.26	0.49539448584500617	1.0
ENSG00000173262	6.56	7.57	1.3	6.92	0.0	2.52	0.4953954470321617	1.0
ENSG00000111834	4.0	7.0	7.0	9.0	3.0	11.0	0.4954132660955078	1.0
ENSG00000115446	1384.0	1466.0	1160.0	1243.0	945.0	1331.0	0.4954307363754984	1.0
ENSG00000260369	5.0	9.0	4.0	8.0	0.0	3.0	0.4954863740267194	1.0
ENSG00000257198	0.0	7.52	1.0	0.0	2.64	0.0	0.49554471475642164	1.0
ENSG00000265982	6.0	6.0	7.0	5.0	4.0	3.0	0.4957009326490293	1.0
ENSG00000227719	35.0	50.0	23.0	26.0	18.0	41.0	0.49573856897756086	1.0
ENSG00000229519	13.0	13.0	5.0	9.0	6.0	6.0	0.4957836244317073	1.0
ENSG00000169826	682.0	710.0	743.49	705.0	611.0	785.0	0.4958034430794843	1.0
ENSG00000260896	19.0	36.8	23.0	23.0	27.0	36.0	0.4958104810544408	1.0
ENSG00000103254	546.0	561.0	701.0	432.0	425.0	689.0	0.4958468023253488	1.0
ENSG00000100280	9872.76	9830.29	8847.02	8720.19	5908.74	10917.22	0.49585750767985337	1.0
ENSG00000100150	958.51	1043.6	818.16	889.32	645.61	935.48	0.4958820835086967	1.0
ENSG00000240531	6.28	6.2	3.71	5.94	0.0	4.48	0.49593692434590325	1.0
ENSG00000000003	716.28	775.53	803.12	717.31	611.08	955.16	0.4959419087882406	1.0
ENSG00000231942	12.11	16.27	11.18	11.19	11.1	6.12	0.4960029800162408	1.0
ENSG00000271948	8.0	11.0	6.0	7.0	6.0	4.0	0.4960129668900438	1.0
ENSG00000261606	33.97	9.05	21.5	27.62	8.63	49.28	0.496138925000865	1.0
ENSG00000255237	38.34	40.46	29.53	38.13	17.94	30.79	0.49614262128738995	1.0
ENSG00000261050	217.0	235.0	151.0	189.0	144.0	167.0	0.4961540416535897	1.0
ENSG00000175482	3266.88	3251.91	2511.92	3218.64	2208.2	3416.73	0.49618428314664903	1.0
ENSG00000268530	8.88	9.63	2.47	8.3	4.66	13.57	0.4961878608908876	1.0
ENSG00000170919	245.42	302.19	188.33	249.64	189.98	305.36	0.4962022378581411	1.0
ENSG00000268863	44.53	43.53	50.26	39.85	17.88	56.41	0.49625726903148826	1.0
ENSG00000256804	5.94	4.43	13.4	5.18	7.27	0.5	0.49637307912791434	1.0
ENSG00000272347	3.0	2.0	0.0	0.0	1.0	1.0	0.49638906952531114	1.0
ENSG00000143376	4715.88	4701.29	4637.72	4777.28	3377.58	5659.54	0.49656467453712044	1.0
ENSG00000251015	7.92	12.13	22.1	19.33	9.13	23.24	0.4965732592375825	1.0
ENSG00000108774	6975.34	6615.25	6058.69	7091.04	4745.45	7376.94	0.4965893793343034	1.0
ENSG00000135587	692.09	544.09	639.51	754.99	423.96	741.93	0.496641044565418	1.0
