iter	Logloss
258	0.2808754594
259	0.2808552373
260	0.2808552351
261	0.2808145331
262	0.2808133961
263	0.280813384
264	0.2805896504
265	0.2805896485
266	0.280589647
267	0.2805577068
268	0.2805566503
269	0.2805557946
270	0.2805373005
271	0.2803898387
272	0.2803891051
273	0.2803872515
274	0.2803433397
275	0.2803273029
276	0.2803273027
277	0.2802909575
278	0.2802350241
279	0.2802055111
280	0.2801385975
281	0.2798914634
282	0.2798457637
283	0.2797874225
284	0.2796599906
285	0.2796501743
286	0.2796497705
287	0.2795980945
288	0.2795935547
289	0.2795814461
290	0.2790077646
291	0.2788582725
292	0.2788462875
293	0.2788361903
294	0.2787334966
295	0.2787321438
296	0.2787295527
297	0.2787283213
298	0.2786908559
299	0.2786908559
300	0.2786907147
301	0.2786706115
302	0.2785671623
303	0.2783262069
304	0.2783261926
305	0.2783015899
306	0.2783012932
307	0.2782797174
308	0.2782732832
309	0.278237571
310	0.2782375705
311	0.2782186863
312	0.2782005488
313	0.2781165921
314	0.2779590402
315	0.2778900198
316	0.2778804685
317	0.2778636362
318	0.2778368352
319	0.2778246706
320	0.2776048447
321	0.2774607233
322	0.2773096381
323	0.2772572763
324	0.2772551191
325	0.2772073452
326	0.2770235036
327	0.2770008906
328	0.277000887
329	0.2769746565
330	0.2769690301
331	0.2769193129
332	0.2768136959
333	0.276813693
334	0.2766865206
335	0.2765297773
336	0.2765296265
337	0.2765294158
338	0.2765108386
339	0.2765107622
340	0.2764884218
341	0.2764870431
342	0.2764868576
343	0.2763564408
