iter	Logloss
0	0.623328613
1	0.5658052464
2	0.5251565592
3	0.4908797924
4	0.4639578547
5	0.4415490392
6	0.4276014119
7	0.4121083978
8	0.3993156203
9	0.3887996939
10	0.3750996199
11	0.3646101465
12	0.3564379865
13	0.3499791985
14	0.3455951609
15	0.3433337787
16	0.3393155575
17	0.3348473676
18	0.3344637522
19	0.333653684
20	0.3313532606
21	0.3270872153
22	0.3249315428
23	0.3209031842
24	0.3196867574
25	0.3188843546
26	0.318555156
27	0.315519932
28	0.3130079893
29	0.3126762845
30	0.311593677
31	0.3104148384
32	0.3103437429
33	0.3102485121
34	0.3098257503
35	0.3096455006
36	0.3093146902
37	0.3093111332
38	0.3090513225
39	0.3087401326
40	0.3081951785
41	0.3080340238
42	0.3065017776
43	0.3063257976
44	0.3058348188
45	0.3057116421
46	0.3056208969
47	0.3056108464
48	0.3054875486
49	0.3052957429
50	0.3047379292
51	0.3044784082
52	0.3043716892
53	0.303919608
54	0.3039135341
55	0.3039135206
56	0.3035667153
57	0.3035661901
58	0.3024185539
59	0.3020679964
60	0.3018627513
61	0.3014630654
62	0.3009851272
63	0.3006808249
64	0.3006358156
65	0.2998324933
66	0.2995362148
67	0.2993198766
68	0.2991208435
69	0.2986975108
70	0.2985425887
71	0.2985315308
72	0.2982143069
73	0.2980101706
74	0.2978817907
75	0.2978810192
76	0.2972905654
77	0.2970920905
78	0.2970449196
79	0.2970443991
80	0.296904675
81	0.29637492
82	0.2963410588
83	0.2962756812
84	0.2959033013
85	0.2955018409
86	0.2955012284
87	0.2954201092
88	0.2952735355
89	0.2952730443
90	0.2950147481
91	0.2945984617
92	0.2943309507
93	0.2940979589
94	0.293795698
95	0.2934678964
96	0.2933738739
97	0.2932863476
98	0.2932362886
99	0.293106325
100	0.293026686
101	0.2927925346
102	0.2927646147
103	0.2927620367
104	0.2926779638
105	0.2925057094
106	0.2922193754
107	0.2920256229
108	0.292019516
109	0.2915976592
110	0.2915693275
111	0.2915483235
112	0.2913510868
113	0.2912396354
114	0.291035143
115	0.2910349071
116	0.2909059295
117	0.2908057616
118	0.2908056215
119	0.2906827924
120	0.2905729824
121	0.2902436543
122	0.2901668251
123	0.2901666368
124	0.2901136203
125	0.2901134375
126	0.2899616595
127	0.2896992625
128	0.289688807
129	0.2895357193
130	0.289453447
131	0.2894434454
132	0.2894431453
133	0.2894430337
134	0.2894415872
135	0.2891407197
136	0.2891385521
137	0.2891218095
138	0.2890716908
139	0.2890340214
140	0.2890147324
141	0.2889976196
142	0.2888141257
143	0.2888130826
144	0.2885795434
145	0.2885226564
146	0.2885225042
147	0.2885224925
148	0.2885071756
149	0.2884848816
150	0.2884627262
151	0.2881693873
152	0.2873598663
153	0.2872756687
154	0.2871286744
155	0.2869846966
156	0.2866824916
157	0.2865200636
158	0.2864798332
159	0.2864562632
160	0.2864371641
161	0.2864214044
162	0.2864201958
163	0.2864033009
164	0.2864032993
165	0.2864025146
166	0.2864025131
167	0.2864023653
168	0.2864023642
169	0.2863658832
170	0.2863658825
171	0.2862900508
172	0.2861248012
173	0.2861127365
174	0.286102995
175	0.2861029784
176	0.2858991704
177	0.2857133113
178	0.2856980458
179	0.2855622034
180	0.2854946134
181	0.2853304924
182	0.2853183926
183	0.285307584
184	0.2853075683
185	0.2852372076
186	0.2852272417
187	0.2852010216
188	0.285186975
189	0.2851598578
190	0.285151245
191	0.2850089601
192	0.2849088639
193	0.2848974732
194	0.2848903832
195	0.284868826
196	0.2848182046
197	0.2848119417
198	0.2847401288
199	0.2845338701
200	0.2845318105
201	0.2844249438
202	0.2844202598
203	0.2842636369
204	0.2842636354
205	0.284209609
206	0.2841976419
207	0.2841608749
208	0.2836876564
209	0.2836876488
210	0.283516979
211	0.2835169555
212	0.2834324075
213	0.283363005
214	0.2833628307
215	0.2832725149
216	0.2832723068
217	0.2832115383
218	0.2832038864
219	0.283085276
220	0.2830734257
221	0.2829678366
222	0.2829677951
223	0.2828317504
224	0.2828288614
225	0.2828132959
226	0.2828132631
227	0.2826841728
228	0.2826818813
229	0.2826704741
230	0.2825466829
231	0.2825387456
232	0.282535721
233	0.2823651937
234	0.282073287
235	0.2820175241
236	0.2820048995
237	0.2819733047
238	0.2818808131
239	0.2818490548
240	0.2818405995
241	0.2818385143
242	0.2818368765
243	0.2818229792
244	0.2815878963
245	0.281475464
246	0.2813457976
247	0.2813027865
248	0.2811515397
249	0.2811494197
250	0.2811280863
251	0.2811199915
252	0.2810473849
253	0.2810349601
254	0.2809902728
255	0.2809878715
256	0.2809182443
257	0.2809128284
