id	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest	pval	qval
ENSG00000152582	624.0	861.0	37.0	24.0	9.326378235162679e-10	1.5213082079266713e-07
ENSG00000173208	484.0	394.0	24.0	10.0	9.328146542406945e-10	1.5213082079266713e-07
ENSG00000165115	704.0	893.0	40.0	36.0	9.367876654939578e-10	1.5213082079266713e-07
ENSG00000175175	1399.0	646.0	62.0	41.0	9.474085820576666e-10	1.5213082079266713e-07
ENSG00000021645	7351.0	5223.0	416.0	304.0	9.556701997330605e-10	1.5213082079266713e-07
ENSG00000175697	464.0	339.0	23.0	17.0	9.567583673535495e-10	1.5213082079266713e-07
ENSG00000105792	5924.0	9762.0	303.0	147.0	9.635404349936989e-10	1.5213082079266713e-07
ENSG00000008394	67.0	51.0	2019.0	1221.0	1.1468683553231354e-09	1.7856103143294928e-07
ENSG00000133110	13.0	2.0	1208.0	406.0	1.2143864231943014e-09	1.864831753973715e-07
ENSG00000181378	258.0	822.0	8.0	4.0	1.45201787950354e-09	2.1996108688154977e-07
ENSG00000206530	650.0	1057.0	38.0	19.0	1.6029637436925685e-09	2.384651107885483e-07
ENSG00000183853	10.0	2.0	299.0	568.0	1.6167126155155815e-09	2.384651107885483e-07
ENSG00000041515	340.0	188.0	7.0	10.0	1.6473969080733344e-09	2.398353160974296e-07
ENSG00000138435	276.0	173.0	5.0	0.0	1.8064725307690101e-09	2.5962252653744367e-07
ENSG00000188859	1839.0	624.0	61.0	49.0	1.9456892989393298e-09	2.7453603470432937e-07
ENSG00000184611	6894.0	3720.0	150.0	29.0	1.959222370771307e-09	2.7453603470432937e-07
ENSG00000136205	101.0	121.0	4400.0	2710.0	2.143716002449753e-09	2.966797084871819e-07
ENSG00000162669	1677.0	829.0	81.0	36.0	2.2572434698963765e-09	3.0858169875046806e-07
ENSG00000136099	806.0	347.0	18.0	3.0	2.4858864979647954e-09	3.3574442942391997e-07
ENSG00000131069	1118.0	1000.0	64.0	74.0	2.5902090366971135e-09	3.456695631116029e-07
ENSG00000138792	44.0	51.0	1436.0	3824.0	2.629890738303149e-09	3.46836178545627e-07
ENSG00000119147	77.0	56.0	3960.0	1372.0	2.8450290694818374e-09	3.708462310336209e-07
ENSG00000176769	863.0	206.0	12.0	3.0	3.3591059233664564e-09	4.3282272874641356e-07
ENSG00000215203	885.0	515.0	16.0	1.0	3.5368065917284462e-09	4.499741099807002e-07
ENSG00000232125	945.0	404.0	31.0	9.0	3.572497394137584e-09	4.499741099807002e-07
ENSG00000058404	551.0	176.0	10.0	13.0	5.079477522601338e-09	6.326771447595667e-07
ENSG00000215045	166.0	89.0	2.0	1.0	5.264311233544257e-09	6.484937244838584e-07
ENSG00000067842	334.0	124.0	7.0	4.0	5.55452680424094e-09	6.682361091600164e-07
ENSG00000091010	2627.0	2018.0	58.0	7.0	5.577389814591994e-09	6.682361091600164e-07
ENSG00000119636	576.0	609.0	41.0	20.0	5.6034071597717705e-09	6.682361091600164e-07
ENSG00000132639	1477.0	1654.0	56.0	10.0	5.7185227021279915e-09	6.74785678851103e-07
ENSG00000128833	15.0	18.0	471.0	780.0	5.845696121181266e-09	6.758979214437753e-07
ENSG00000136110	179.0	34.0	7837.0	4259.0	5.8485368760076904e-09	6.758979214437753e-07
ENSG00000135205	212.0	540.0	9.0	3.0	6.899198058129314e-09	7.888213568128606e-07
ENSG00000110675	5228.0	5408.0	119.0	16.0	7.004665525420748e-09	7.888213568128606e-07
ENSG00000064989	1043.0	453.0	51.0	30.0	7.0367650027909065e-09	7.888213568128606e-07
ENSG00000079102	1586.0	638.0	69.0	28.0	8.088990468957515e-09	8.977978530397401e-07
ENSG00000141519	346.0	718.0	20.0	8.0	8.260022525010581e-09	9.07792671621261e-07
ENSG00000196975	6993.0	4266.0	464.0	334.0	8.511881639448782e-09	9.263902250312703e-07
ENSG00000175161	20.0	5.0	707.0	359.0	9.67925525806769e-09	1.043312033105181e-06
ENSG00000134531	156.0	100.0	3757.0	2008.0	1.0361792818568271e-08	1.1062447380585744e-06
ENSG00000103723	343.0	237.0	14.0	3.0	1.0476649251740868e-08	1.1079550765284447e-06
ENSG00000188582	1549.0	393.0	18.0	2.0	1.0714474328303616e-08	1.1179898505132865e-06
ENSG00000121690	978.0	267.0	10.0	22.0	1.0770999451867524e-08	1.1179898505132865e-06
ENSG00000197748	481.0	974.0	26.0	7.0	1.2249130951979995e-08	1.258814811628401e-06
ENSG00000167210	1453.0	867.0	31.0	3.0	1.2352330890198404e-08	1.258814811628401e-06
ENSG00000143469	632.0	548.0	48.0	23.0	1.288415950646715e-08	1.301184036644115e-06
ENSG00000157193	2628.0	1388.0	184.0	135.0	1.3640465300563323e-08	1.3652644287438826e-06
ENSG00000171786	1397.0	634.0	35.0	5.0	1.6975021771174296e-08	1.6839822482731316e-06
ENSG00000145246	721.0	522.0	56.0	40.0	1.7435766157507057e-08	1.7145170054881938e-06
ENSG00000171962	321.0	317.0	23.0	14.0	1.824371493329301e-08	1.7783656034975184e-06
ENSG00000041982	12999.0	7805.0	817.0	718.0	2.0051298344495454e-08	1.93771598656719e-06
ENSG00000008300	114.0	127.0	2.0	2.0	2.0900822056675225e-08	2.0025488483361476e-06
ENSG00000258818	8.0	8.0	381.0	231.0	2.1439136348230797e-08	2.0367179530819256e-06
ENSG00000137473	103.0	178.0	2.0	2.0	2.3449649970922033e-08	2.2089964384372773e-06
ENSG00000168743	105.0	39.0	1464.0	1501.0	2.5026746064089747e-08	2.337915194820384e-06
ENSG00000173947	199.0	354.0	11.0	10.0	2.6867474711133658e-08	2.4891272025769283e-06
ENSG00000176040	143.0	95.0	3.0	1.0	2.8099105651869902e-08	2.58189323243821e-06
ENSG00000163092	2440.0	3875.0	81.0	11.0	2.956647894002224e-08	2.694636007460564e-06
