ensgeneid	sym	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest
ENSMUSG00000032743	D430042O09Rik	67	67	44	62
ENSMUSG00000033152	Podxl2	2	10	16	67
ENSMUSG00000036106	Prr5	19	5	7	67
ENSMUSG00000036966	Spryd3	9	67	31	50
ENSMUSG00000037979	Ccdc92	67	40	23	66
ENSMUSG00000038034	Igsf8	19	5	15	67
ENSMUSG00000038304	Cd160	67	41	30	14
ENSMUSG00000038312	Edem2	67	25	31	60
ENSMUSG00000038489	Polr2l	67	25	49	26
ENSMUSG00000039199	Zdhhc1	35	34	31	67
ENSMUSG00000040616	Tmem51	1	2	32	67
ENSMUSG00000040694	Apobec2	1	21	4	67
ENSMUSG00000044835	Ankrd45	67	33	47	21
ENSMUSG00000045854	Lyrm2	41	25	67	62
ENSMUSG00000047904	Sstr2	67	31	2	1
ENSMUSG00000051034	Zfp11	67	58	66	35
ENSMUSG00000051444	Bbs12	46	67	62	20
ENSMUSG00000058838	Rps27a-ps2	1	41	1	67
ENSMUSG00000062393	Dgkk	1	8	67	34
ENSMUSG00000064090	Vrk2	17	67	50	27
ENSMUSG00000071073	Gm88	67	64	2	2
ENSMUSG00000071637	Cebpd	0	1	9	67
ENSMUSG00000071658	Gng3	51	67	18	23
ENSMUSG00000072855	Gm10430	52	67	6	8
ENSMUSG00000074519	Etohi1	45	67	21	43
ENSMUSG00000074922	Fam122a	11	0	22	67
ENSMUSG00000078779	Zfp59	67	43	24	17
ENSMUSG00000081021	Gm11964	25	9	7	67
ENSMUSG00000083066	Gm12748	67	16	1	1
ENSMUSG00000083435	Gm15824	25	67	0	4
ENSMUSG00000086158	Gm5918	38	67	8	33
ENSMUSG00000086691	Gm15432	0	67	0	18
ENSMUSG00000090862	Rps13	56	37	67	23
ENSMUSG00000001518	Itfg2	51	50	50	68
ENSMUSG00000003033	Ap1m1	45	51	21	68
ENSMUSG00000005982	Nat15	36	33	65	68
ENSMUSG00000015478	Rnf5	19	14	18	68
ENSMUSG00000015966	Il17rb	3	0	23	68
ENSMUSG00000019467	Arhgef25	26	18	44	68
ENSMUSG00000020895	Tmem107	47	68	7	30
ENSMUSG00000026301	Iqca	22	68	1	0
ENSMUSG00000028718	Stil	23	10	12	68
ENSMUSG00000028958	Tmub1	16	20	16	68
ENSMUSG00000028975	Pex14	20	7	16	68
ENSMUSG00000029084	Cd38	0	28	34	68
ENSMUSG00000030443	Zfp583	62	44	68	19
ENSMUSG00000030559	Rab38	0	0	26	68
ENSMUSG00000031787	Katnb1	30	34	17	68
ENSMUSG00000032182	Yipf2	15	18	40	68
ENSMUSG00000036078	Sigmar1	38	17	42	68
ENSMUSG00000037375	Hhat	24	16	15	68
ENSMUSG00000037572	Wdhd1	43	68	11	34
ENSMUSG00000038954	Supt3h	68	14	66	57
ENSMUSG00000042606	Hirip3	68	44	46	56
ENSMUSG00000048218	Amigo2	21	7	46	68
ENSMUSG00000051238	2310047B19Rik	68	66	27	45
ENSMUSG00000054057	A930004D18Rik	14	2	68	39
ENSMUSG00000054312	Mrps21	22	18	66	68
ENSMUSG00000054381	Zfp747	18	11	62	68
ENSMUSG00000054871	Tmem158	39	18	68	26
ENSMUSG00000055760	Gemin6	62	68	33	21
ENSMUSG00000057191	AB124611	24	68	2	8
ENSMUSG00000057229	Atp5sl	43	53	68	35
ENSMUSG00000062661	Ncs1	14	48	68	58
ENSMUSG00000073680	Tmem88b	12	11	8	68
ENSMUSG00000081718	Gm8261	46	29	68	41
ENSMUSG00000082998	Gm11221	26	13	45	68
ENSMUSG00000083218	Gm16425	26	25	68	33
ENSMUSG00000085862	Gm13483	7	10	68	18
ENSMUSG00000087260	Hbxip	15	68	38	57
ENSMUSG00000001622	Csn3	0	0	4	69
ENSMUSG00000001755	Coasy	33	28	36	69
ENSMUSG00000006154	Eps8l1	5	1	29	69
ENSMUSG00000022204	Ngdn	23	18	38	69
ENSMUSG00000022471	Xrcc6	52	56	37	69
ENSMUSG00000024112	Cacna1h	1	32	39	69
ENSMUSG00000024174	Pot1b	28	30	59	69
ENSMUSG00000025135	Anapc11	19	16	69	63
ENSMUSG00000025316	Banp	37	31	32	69
ENSMUSG00000026830	Ermn	69	11	67	10
ENSMUSG00000027394	Ttl	69	27	57	52
ENSMUSG00000027498	Cstf1	22	21	60	69
ENSMUSG00000027610	Gss	69	60	14	41
ENSMUSG00000027962	Vcam1	69	2	58	14
ENSMUSG00000033453	Adamts15	0	0	69	47
ENSMUSG00000035868	3110052M02Rik	17	26	69	38
ENSMUSG00000037243	Zfp692	69	3	28	16
ENSMUSG00000039048	Foxred1	61	65	62	69
ENSMUSG00000039164	Naif1	14	8	53	69
ENSMUSG00000040158	Tax1bp3	2	1	7	69
ENSMUSG00000040749	Siah1b	67	18	69	37
ENSMUSG00000041119	Pde9a	2	3	25	69
ENSMUSG00000041420	Meis3	44	41	2	69
ENSMUSG00000042303	Sgsm3	18	18	54	69
ENSMUSG00000043999	Gpr75	68	33	69	37
ENSMUSG00000044533	Rps2	11	8	14	69
ENSMUSG00000045790	Ccdc149	37	18	40	69
ENSMUSG00000047557	Lxn	28	0	69	26
ENSMUSG00000056856	Jakmip3	69	18	3	0
ENSMUSG00000057176	Gm166	69	68	24	15
ENSMUSG00000057762	Gm6169	1	11	18	69
ENSMUSG00000057788	Ddx49	21	13	46	69
ENSMUSG00000059689	Zfp637	14	22	69	59
ENSMUSG00000073565	Prr16	69	3	54	10
ENSMUSG00000073968	Trim68	10	13	55	69
ENSMUSG00000081225	Cyp2j12	69	1	1	0
ENSMUSG00000081277	Gm15285	35	19	35	69
ENSMUSG00000084941	Gm11944	28	36	45	69
ENSMUSG00000091244	na	69	21	32	11
ENSMUSG00000000120	Ngfr	9	3	70	22
ENSMUSG00000000776	Polr3d	36	44	55	70
ENSMUSG00000002043	Trappc6a	5	6	6	70
ENSMUSG00000002763	Pex6	23	27	30	70
ENSMUSG00000006575	Rundc3a	70	45	5	4
ENSMUSG00000016458	Wt1	4	70	0	53
ENSMUSG00000019464	Ptger1	23	1	11	70
ENSMUSG00000023868	Pde10a	1	70	1	13
ENSMUSG00000023980	Taf8	70	64	31	50
ENSMUSG00000024034	Tmprss3	70	14	6	0
ENSMUSG00000024403	Atp6v1g2	57	31	70	45
ENSMUSG00000027671	Actl6a	51	61	40	70
ENSMUSG00000027694	Gm8325	0	7	2	70
ENSMUSG00000029032	Arhgef16	6	19	70	43
ENSMUSG00000029466	Anapc7	33	17	45	70
ENSMUSG00000030554	Synm	33	34	62	70
ENSMUSG00000032113	Chek1	70	28	33	49
ENSMUSG00000032377	Plscr4	2	70	54	24
ENSMUSG00000032507	Fbxl2	45	70	27	14
ENSMUSG00000033615	Cplx1	70	12	0	1
ENSMUSG00000035349	Mia2	31	40	70	44
ENSMUSG00000036918	Ttc7	11	70	5	31
ENSMUSG00000038060	Dlec1	24	70	7	6
ENSMUSG00000039713	Plekhg5	49	15	19	70
ENSMUSG00000040269	Mrps28	25	39	66	70
ENSMUSG00000040562	Gstm2	1	0	4	70
ENSMUSG00000040888	Gfer	70	58	50	52
ENSMUSG00000041710	Trpc5	60	18	70	13
ENSMUSG00000041859	Mcm3	5	11	32	70
ENSMUSG00000045201	Lrrc3b	10	15	70	12
ENSMUSG00000047281	Sfn	20	2	21	70
ENSMUSG00000048216	Gpr85	64	5	70	18
ENSMUSG00000048349	Pou4f1	70	64	25	1
ENSMUSG00000048402	Gli2	14	7	29	70
ENSMUSG00000055370	Gm9968	70	26	30	6
ENSMUSG00000056966	Gjc3	0	0	70	63
ENSMUSG00000057342	Sphk2	61	19	58	70
ENSMUSG00000057778	Cyb5d2	23	70	55	61
ENSMUSG00000059237	Ppp1r2-ps4	0	17	0	70
ENSMUSG00000071604	Fam189a2	51	17	69	70
ENSMUSG00000078348	Sf3b5	11	5	57	70
ENSMUSG00000081583	Gm14769	60	6	70	1
ENSMUSG00000087499	na	70	37	14	20
ENSMUSG00000089840	Gm4491	44	8	70	4
ENSMUSG00000090015	Gm15446	49	23	70	46
ENSMUSG00000090582	Gm17024	28	22	22	70
ENSMUSG00000091622	na	70	8	5	1
ENSMUSG00000091845	Gm4604	1	0	0	70
ENSMUSG00000005125	Ndrg1	10	5	35	71
ENSMUSG00000005233	Spc25	71	38	9	38
ENSMUSG00000007987	Rabl5	71	45	44	46
ENSMUSG00000020228	Helb	71	37	61	60
ENSMUSG00000021613	Hapln1	4	4	55	71
ENSMUSG00000021692	Dimt1	71	41	9	31
ENSMUSG00000022853	Ehhadh	31	21	71	49
ENSMUSG00000024381	Bin1	11	47	45	71
ENSMUSG00000024962	Vegfb	13	5	71	58
ENSMUSG00000027699	Ect2	71	59	44	69
ENSMUSG00000027995	Tlr2	17	11	39	71
ENSMUSG00000028445	Enho	10	21	12	71
ENSMUSG00000030051	Aplf	47	34	71	38
ENSMUSG00000032053	Pou2af1	67	71	3	0
ENSMUSG00000032419	Tbx18	2	8	9	71
ENSMUSG00000032590	Apeh	38	30	23	71
ENSMUSG00000034308	Sdr42e1	16	10	71	29
ENSMUSG00000036110	Slc17a2	0	71	0	0
ENSMUSG00000039153	Runx2	0	0	69	71
ENSMUSG00000042784	Muc1	6	11	33	71
ENSMUSG00000043295	Gm16373	29	6	71	31
ENSMUSG00000045657	Pcdhb10	2	15	71	55
ENSMUSG00000046756	Mrps7	50	54	51	71
ENSMUSG00000048142	Nat8l	6	0	16	71
ENSMUSG00000049685	Cyp2g1	71	11	0	1
ENSMUSG00000053604	Rpia	56	42	71	39
ENSMUSG00000059316	Slc27a4	17	14	24	71
ENSMUSG00000064043	Trerf1	49	22	20	71
ENSMUSG00000068328	Aup1	49	7	38	71
ENSMUSG00000069633	Pex11c	50	71	57	52
ENSMUSG00000070867	Gm12824	20	37	66	71
ENSMUSG00000072960	BC065397	40	12	71	22
ENSMUSG00000072972	Adam4	71	16	4	5
ENSMUSG00000073434	Wdr90	26	50	18	71
ENSMUSG00000073755	5730409E04Rik	71	45	57	46
ENSMUSG00000074771	Ankrd5	59	71	0	4
ENSMUSG00000075229	Ccdc58	25	23	71	48
ENSMUSG00000078786	BC024978	35	27	46	71
ENSMUSG00000079109	Pms2	54	36	47	71
ENSMUSG00000079523	Tmsb10	11	5	25	71
ENSMUSG00000091580	Gm6467	1	14	7	71
ENSMUSG00000005481	Ddx39	29	39	44	72
ENSMUSG00000005575	Ube2m	72	12	63	50
ENSMUSG00000010307	Tmem86a	18	4	32	72
ENSMUSG00000020256	Aldh1l2	12	14	11	72
ENSMUSG00000020740	Gga3	72	12	22	47
ENSMUSG00000022359	Wdyhv1	20	14	20	72
ENSMUSG00000022526	Zfp251	66	39	35	72
ENSMUSG00000023723	Mrps23	55	28	55	72
ENSMUSG00000025129	Ppp1r27	72	34	1	0
ENSMUSG00000026102	Inpp1	41	72	5	21
ENSMUSG00000028597	Gpx7	1	4	17	72
ENSMUSG00000028772	Zcchc17	72	28	34	63
ENSMUSG00000030079	Ruvbl1	68	42	72	27
ENSMUSG00000031562	Dctd	54	31	72	54
ENSMUSG00000031706	Rfx1	72	68	40	47
ENSMUSG00000032641	Gpr19	72	43	47	23
ENSMUSG00000032952	Ap4b1	44	45	45	72
ENSMUSG00000033020	Polr2f	9	0	26	72
ENSMUSG00000033377	Palmd	4	14	27	72
ENSMUSG00000033952	Aspm	13	69	45	72
ENSMUSG00000034201	Gas2l1	8	2	14	72
ENSMUSG00000034853	Acot11	1	72	18	48
ENSMUSG00000037239	Spred3	72	21	33	62
ENSMUSG00000037997	Parp11	72	70	67	56
ENSMUSG00000038463	Olfml2b	72	36	11	6
ENSMUSG00000038690	Atp5j2	27	55	21	72
ENSMUSG00000039771	Polr2j	72	68	43	34
ENSMUSG00000040824	Snrpd2	35	43	39	72
ENSMUSG00000041679	Lrrc29	72	9	14	11
ENSMUSG00000041926	Rnpep	43	40	44	72
ENSMUSG00000041975	Mettl8	71	72	44	40
ENSMUSG00000042770	Hebp1	18	1	72	29
ENSMUSG00000042793	Lgr6	72	45	31	47
ENSMUSG00000048772	Tmem53	21	34	62	72
ENSMUSG00000055150	Zfp78	72	4	11	5
ENSMUSG00000060181	Slc35e3	13	30	58	72
ENSMUSG00000066196	Spag8	45	72	3	3
ENSMUSG00000067219	Nipal1	26	72	15	31
ENSMUSG00000081059	Gm11945	55	51	72	30
ENSMUSG00000082057	Gm15789	72	27	13	5
ENSMUSG00000085558	4930412C18Rik	9	72	63	17
ENSMUSG00000087686	na	26	72	6	10
ENSMUSG00000090290	Gm17296	72	28	37	44
ENSMUSG00000001039	B9d1	36	54	43	73
ENSMUSG00000001054	Rmnd5b	29	20	26	73
ENSMUSG00000004655	Aqp1	5	19	7	73
ENSMUSG00000010154	Spire2	26	15	73	32
ENSMUSG00000014294	Ndufa2	32	34	29	73
ENSMUSG00000017802	Fam134c	55	48	52	73
ENSMUSG00000018740	Slc25a35	73	19	58	56
ENSMUSG00000020268	Lyrm7	26	12	73	23
ENSMUSG00000020592	Sdc1	3	19	6	73
ENSMUSG00000020926	Adam11	66	68	12	73
ENSMUSG00000021913	Ogdhl	73	34	29	39
ENSMUSG00000022987	Zfp641	17	7	73	29
ENSMUSG00000023353	Agap3	39	34	35	73
ENSMUSG00000024613	Tcof1	51	13	29	73
ENSMUSG00000025956	Mettl21a	64	40	73	38
ENSMUSG00000025993	Slc40a1	14	7	73	63
ENSMUSG00000026494	Kif26b	73	54	23	1
ENSMUSG00000027243	Harbi1	73	29	58	62
ENSMUSG00000027314	Dll4	73	22	0	0
ENSMUSG00000028089	Chd1l	43	59	34	73
ENSMUSG00000028454	Pigo	43	30	67	73
ENSMUSG00000028683	Eif2b3	73	58	33	65
ENSMUSG00000029127	Zbtb49	50	73	9	37
ENSMUSG00000029388	Eif2b1	44	8	45	73
ENSMUSG00000029503	P2rx2	17	15	24	73
ENSMUSG00000029516	Cit	4	13	20	73
ENSMUSG00000029674	Limk1	73	18	23	49
ENSMUSG00000029675	Eln	3	0	13	73
ENSMUSG00000031378	Abcd1	14	10	40	73
ENSMUSG00000032673	Prorsd1	73	54	46	47
ENSMUSG00000035206	3110056O03Rik	40	41	23	73
ENSMUSG00000036036	Zfp57	42	73	51	54
ENSMUSG00000038598	AI481877	9	73	4	0
ENSMUSG00000040502	39873	24	18	18	73
ENSMUSG00000040543	Pitpnm3	1	73	24	66
ENSMUSG00000041733	Coq5	38	36	54	73
ENSMUSG00000043629	1700019D03Rik	46	72	22	73
ENSMUSG00000045094	Arhgef37	1	2	8	73
ENSMUSG00000046761	Fam83h	9	12	23	73
ENSMUSG00000062082	Cd200r4	73	1	0	0
ENSMUSG00000063239	Grm4	73	0	0	4
ENSMUSG00000064037	Gpn1	37	22	73	72
ENSMUSG00000067071	Hes6	73	14	19	29
ENSMUSG00000070425	Trpc2	42	47	70	73
ENSMUSG00000073519	na	33	19	29	73
ENSMUSG00000074660	na	0	0	0	73
ENSMUSG00000078949	R3hdml	73	14	0	1
ENSMUSG00000079235	Ccdc13	6	23	2	73
ENSMUSG00000085421	4732490B19Rik	1	0	0	73
ENSMUSG00000085832	na	5	8	73	2
ENSMUSG00000091432	na	73	42	14	10
ENSMUSG00000002870	Mcm2	20	28	70	74
ENSMUSG00000006403	Adamts4	1	18	5	74
ENSMUSG00000014856	Tmem208	23	21	32	74
ENSMUSG00000015224	Cyp2j9	11	8	74	30
ENSMUSG00000016493	Cd46	74	32	60	21
ENSMUSG00000020156	Mum1	74	5	36	27
ENSMUSG00000020439	Smtn	74	17	24	63
ENSMUSG00000020718	Polg2	74	40	39	71
ENSMUSG00000021532	Fastkd3	55	41	74	49
ENSMUSG00000022577	Ly6h	74	15	22	5
ENSMUSG00000022721	Trmt2a	46	32	27	74
ENSMUSG00000024142	Mlst8	22	5	41	74
ENSMUSG00000024922	Ovol1	6	16	29	74
ENSMUSG00000025145	Lrrc45	34	19	24	74
ENSMUSG00000027377	Mall	0	5	27	74
ENSMUSG00000029125	Stx18	37	42	21	74
ENSMUSG00000029570	Lfng	74	61	40	42
ENSMUSG00000030811	Fbxl19	20	3	74	73
ENSMUSG00000031155	Pim2	13	27	19	74
ENSMUSG00000031505	Carkd	11	10	26	74
ENSMUSG00000034059	Ypel4	12	41	4	74
ENSMUSG00000036052	Dnajb5	31	13	9	74
ENSMUSG00000040688	Tbl3	17	15	27	74
ENSMUSG00000041765	Ubac2	38	11	45	74
ENSMUSG00000045009	Prrt3	61	74	4	29
ENSMUSG00000045045	Lrfn4	7	2	20	74
ENSMUSG00000046182	Gsg1l	74	24	2	8
ENSMUSG00000048899	Rimkla	28	32	74	43
ENSMUSG00000059291	Rpl11	38	45	74	24
ENSMUSG00000068856	Sf3b4	74	46	49	65
ENSMUSG00000084128	Esrp2	33	28	20	74
ENSMUSG00000089707	4921525B02Rik	74	49	15	13
ENSMUSG00000090334	Gm17149	7	74	50	21
ENSMUSG00000091100	na	56	52	37	74
ENSMUSG00000002504	Slc9a3r2	30	75	31	42
ENSMUSG00000011427	Zfp790	75	32	62	66
ENSMUSG00000012350	Ehf	0	8	75	65
ENSMUSG00000015363	Trabd	12	19	11	75
ENSMUSG00000015452	Ager	4	0	1	75
ENSMUSG00000017188	Ccdc56	70	24	75	20
ENSMUSG00000018167	Stard3	8	13	13	75
ENSMUSG00000019842	Traf3ip2	44	46	66	75
ENSMUSG00000021364	Elovl2	75	18	8	27
ENSMUSG00000024055	Cyp4f13	22	10	65	75
ENSMUSG00000024534	Sncaip	39	51	75	39
ENSMUSG00000024600	Slc27a6	2	0	6	75
ENSMUSG00000026676	Ccdc3	1	0	75	12
ENSMUSG00000028917	Plekhm2	21	11	69	75
ENSMUSG00000028959	Fastk	46	22	26	75
ENSMUSG00000029363	Rfc5	25	49	21	75
ENSMUSG00000030177	Ccdc77	75	64	73	74
ENSMUSG00000032295	Man2c1	35	15	37	75
ENSMUSG00000032714	Syde1	8	0	30	75
ENSMUSG00000035131	Fam5c	12	11	75	47
ENSMUSG00000035258	Abi3bp	75	34	53	63
ENSMUSG00000037032	Apbb1	19	27	13	75
ENSMUSG00000037313	Tacc3	12	9	66	75
ENSMUSG00000038181	Chpf2	11	19	36	75
ENSMUSG00000038319	Kcnh2	75	36	7	36
ENSMUSG00000040479	Dgkz	30	21	33	75
ENSMUSG00000042734	Ttc9	18	12	11	75
ENSMUSG00000045466	Zfp956	75	6	39	26
ENSMUSG00000045867	Cradd	52	75	58	64
ENSMUSG00000050248	Evc2	68	19	29	75
ENSMUSG00000052912	Smarca5-ps	75	48	67	40
ENSMUSG00000054434	Tmem120b	75	35	7	13
ENSMUSG00000054945	Gm9958	70	66	75	36
ENSMUSG00000060393	Gm5580	1	10	0	75
ENSMUSG00000061532	na	73	75	62	53
ENSMUSG00000069727	Gm5595	71	75	66	19
ENSMUSG00000070572	Gm13072	10	20	10	75
ENSMUSG00000074622	Mafb	17	10	75	27
ENSMUSG00000074657	Kif5a	75	25	11	12
ENSMUSG00000078117	Gm16485	61	75	64	58
ENSMUSG00000081540	Gm12538	29	75	4	11
ENSMUSG00000091561	Gm6665	0	4	0	75
ENSMUSG00000091811	Prr24	57	12	45	75
ENSMUSG00000004815	Dgkq	63	76	38	60
ENSMUSG00000006517	Mvd	15	26	42	76
ENSMUSG00000020806	Rhbdf2	39	20	40	76
ENSMUSG00000020990	Cdkl1	76	68	19	8
ENSMUSG00000021411	1300014I06Rik	14	6	76	33
ENSMUSG00000021550	2210016F16Rik	26	16	60	76
ENSMUSG00000022089	Bin3	11	10	31	76
ENSMUSG00000027074	Slc43a3	14	76	34	41
ENSMUSG00000027327	1700037H04Rik	16	3	24	76
ENSMUSG00000027408	Cpxm1	3	2	10	76
ENSMUSG00000028884	Rpa2	14	18	24	76
ENSMUSG00000030255	Sspn	14	2	48	76
ENSMUSG00000030720	Cln3	9	41	27	76
ENSMUSG00000030871	Ears2	76	16	27	56
ENSMUSG00000031504	Rab20	1	3	14	76
ENSMUSG00000031834	Pik3r2	33	43	25	76
ENSMUSG00000032657	Fam189b	48	34	28	76
ENSMUSG00000033355	Rtp4	1	17	76	48
ENSMUSG00000034445	Cybasc3	49	16	47	76
ENSMUSG00000034659	Tmem109	31	29	43	76
ENSMUSG00000035601	Rg9mtd3	60	76	69	60
ENSMUSG00000036158	Prickle1	40	11	76	66
ENSMUSG00000037443	Ccdc21	48	76	24	40
ENSMUSG00000038982	Muted	37	17	76	45
ENSMUSG00000039656	Rxrb	33	26	23	76
ENSMUSG00000039891	Txlnb	76	62	76	22
ENSMUSG00000042564	4933432B09Rik	48	76	37	24
ENSMUSG00000042709	Atpaf2	76	67	53	67
ENSMUSG00000044475	Ascc1	28	12	61	76
ENSMUSG00000044646	Zbtb7c	1	47	9	76
ENSMUSG00000044976	Wdr72	12	2	76	24
ENSMUSG00000046550	Spin2	25	14	76	27
ENSMUSG00000046994	Mars2	76	28	32	65
ENSMUSG00000048120	Entpd1	1	76	1	48
ENSMUSG00000050705	2310061I04Rik	76	14	39	68
ENSMUSG00000053128	Rnf26	8	24	9	76
ENSMUSG00000061518	Cox5b	71	42	76	40
ENSMUSG00000062352	Itgb1bp1	58	27	76	63
ENSMUSG00000066687	Zbtb16	0	0	39	76
ENSMUSG00000069808	Fam57a	23	28	76	33
ENSMUSG00000070283	Ndufaf3	73	64	66	76
ENSMUSG00000073867	AA474408	76	24	55	21
ENSMUSG00000089760	D030046N08Rik	6	0	76	14
ENSMUSG00000002372	Ranbp3	46	16	37	77
ENSMUSG00000002409	Dyrk1b	68	66	24	77
ENSMUSG00000003824	Syce2	41	62	77	55
ENSMUSG00000007646	Rad51c	36	39	77	23
ENSMUSG00000017405	Nek8	43	34	55	77
ENSMUSG00000020098	Pcbd1	31	24	69	77
ENSMUSG00000021022	Ppp2r3c	32	37	77	40
ENSMUSG00000021991	Cacna2d3	77	29	14	51
ENSMUSG00000024797	1110014N23Rik	29	45	23	77
ENSMUSG00000024799	Tm7sf2	77	30	22	31
ENSMUSG00000025142	Aspscr1	32	11	13	77
ENSMUSG00000025175	Fn3k	77	61	1	11
ENSMUSG00000026934	Lhx3	75	77	4	2
ENSMUSG00000027952	Pmvk	42	77	43	58
ENSMUSG00000029056	Pank4	36	20	27	77
ENSMUSG00000031340	Gabre	77	9	60	28
ENSMUSG00000031520	Vegfc	0	2	77	19
ENSMUSG00000031813	Fam125a	8	5	12	77
ENSMUSG00000033669	Zfp7	48	30	77	68
ENSMUSG00000033862	Cdk10	19	15	49	77
ENSMUSG00000034412	Tbc1d10a	27	2	7	77
ENSMUSG00000037845	Fdxacb1	54	77	16	21
ENSMUSG00000038756	Ttll6	0	0	77	0
ENSMUSG00000044715	4933433P14Rik	77	39	41	64
ENSMUSG00000051390	Zbtb22	29	38	62	77
ENSMUSG00000051890	Klhdc1	32	75	67	77
ENSMUSG00000054510	Gm14461	77	64	2	0
ENSMUSG00000056019	Zfp709	36	62	77	63
ENSMUSG00000057182	Scn3a	77	10	12	8
ENSMUSG00000057531	Dtnbp1	25	18	18	77
ENSMUSG00000063594	Gng8	77	1	0	0
ENSMUSG00000073856	Iqck	13	35	19	77
ENSMUSG00000074598	na	77	77	68	56
ENSMUSG00000075585	6330403L08Rik	28	4	71	77
ENSMUSG00000078190	Dnm3os	77	26	4	3
ENSMUSG00000080772	Gm12543	37	0	77	2
ENSMUSG00000081715	Gm11828	1	4	3	77
ENSMUSG00000083844	2210015D19Rik	49	37	58	77
ENSMUSG00000000339	Rtcd1	72	62	73	78
ENSMUSG00000002012	Pnck	37	21	49	78
ENSMUSG00000003346	Fam108a	14	9	15	78
ENSMUSG00000004929	Thop1	64	78	44	26
ENSMUSG00000004947	Dtx2	30	35	7	78
ENSMUSG00000021018	Polr2h	49	14	57	78
ENSMUSG00000021759	Ppap2a	25	28	44	78
ENSMUSG00000022557	Bop1	13	8	7	78
ENSMUSG00000022756	Slc7a4	65	56	35	78
ENSMUSG00000022759	4930451C15Rik	20	78	0	3
ENSMUSG00000023094	Msrb2	71	51	78	30
ENSMUSG00000025076	Casp7	32	29	78	70
ENSMUSG00000025495	Ptdss2	78	51	34	60
ENSMUSG00000026065	Slc9a4	4	0	78	22
ENSMUSG00000026575	Nme7	59	78	23	54
ENSMUSG00000026849	Tor1a	48	43	50	78
ENSMUSG00000028182	Lrriq3	78	69	30	20
ENSMUSG00000028700	Pomgnt1	24	32	61	78
ENSMUSG00000029049	Morn1	37	78	21	25
ENSMUSG00000030008	1700040I03Rik	36	21	39	78
ENSMUSG00000030534	Vps33b	75	37	78	64
ENSMUSG00000032363	Adamts7	6	5	45	78
ENSMUSG00000033594	Spata2l	21	28	10	78
ENSMUSG00000037887	Dusp8	20	13	14	78
ENSMUSG00000039195	1110008P14Rik	13	6	6	78
ENSMUSG00000039382	Wdr45	56	54	59	78
ENSMUSG00000040033	Stat2	65	11	41	78
ENSMUSG00000042857	Gm9776	68	30	78	36
ENSMUSG00000044268	Gm4895	74	59	78	41
ENSMUSG00000045248	Med26	78	34	72	67
ENSMUSG00000047415	Gpr68	6	78	0	0
ENSMUSG00000047419	Cmya5	78	18	31	20
ENSMUSG00000048277	Syngr2	6	9	36	78
ENSMUSG00000055923	Aasdh	64	48	78	43
ENSMUSG00000061898	Rbak	49	42	46	78
ENSMUSG00000072662	Gm5887	1	28	0	78
ENSMUSG00000075502	Gm5465	78	22	46	34
ENSMUSG00000077737	Snord72	78	37	13	9
ENSMUSG00000078234	Klhdc7a	0	0	34	78
ENSMUSG00000078713	Tomm5	70	53	27	78
ENSMUSG00000078941	Taf9	78	49	47	55
ENSMUSG00000079465	Col4a3	8	0	78	72
ENSMUSG00000087231	E230016M11Rik	78	14	5	25
ENSMUSG00000090086	AI480526	73	74	78	59
ENSMUSG00000000915	Hip1r	46	50	21	79
ENSMUSG00000003527	Dgcr14	15	10	20	79
ENSMUSG00000004667	Polr2e	39	50	51	79
ENSMUSG00000005803	Sqrdl	4	10	12	79
ENSMUSG00000006288	Ttc5	53	58	70	79
ENSMUSG00000016554	Eif3d	76	55	77	79
ENSMUSG00000018449	Rpain	24	17	22	79
ENSMUSG00000018661	Cog1	62	51	14	79
ENSMUSG00000019039	Dalrd3	43	79	20	49
ENSMUSG00000020092	X99384	12	0	34	79
ENSMUSG00000020364	Zfp354a	36	20	43	79
ENSMUSG00000025736	Jmjd8	61	32	53	79
ENSMUSG00000029053	Prkcz	46	53	13	79
ENSMUSG00000029279	Brdt	36	79	69	22
ENSMUSG00000029482	Aacs	79	51	47	43
ENSMUSG00000030528	Blm	79	46	68	79
ENSMUSG00000035069	Oma1	17	34	79	47
ENSMUSG00000037204	9430023L20Rik	26	18	30	79
ENSMUSG00000037787	2810002N01Rik	15	9	49	79
ENSMUSG00000039244	E130309D02Rik	44	40	54	79
ENSMUSG00000039903	4931408A02Rik	1	15	20	79
ENSMUSG00000040220	Gas8	79	65	36	28
ENSMUSG00000041187	Prkd2	27	29	37	79
ENSMUSG00000042148	Cox10	29	21	79	48
ENSMUSG00000043419	A030009H04Rik	17	79	51	32
ENSMUSG00000043518	Rai2	5	79	50	4
ENSMUSG00000046341	Gm11223	29	57	27	79
ENSMUSG00000047643	Gm5454	6	2	0	79
ENSMUSG00000048503	Tmem136	79	59	26	20
ENSMUSG00000050605	Zfp61	67	26	79	63
ENSMUSG00000053552	Ebf4	29	31	12	79
ENSMUSG00000067424	Zfp563	43	27	79	71
ENSMUSG00000069844	Sco1	49	27	65	79
ENSMUSG00000071317	Bves	27	79	10	1
ENSMUSG00000085282	Gm15663	30	9	79	23
ENSMUSG00000086133	Gm16331	79	13	13	5
ENSMUSG00000002833	Hdgfrp2	80	20	28	74
ENSMUSG00000003604	Aven	61	34	80	20
ENSMUSG00000005089	Slc1a2	48	80	40	70
