ORF	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3
A1BG	16	7	6	25	15	31
A1BG-AS1	0.05	0.05	0.05	0.05	0.05	0.05
A1CF	0.05	0.05	0.05	0.05	2	1
A2M	45	6	5	2	1	2
A2M-AS1	0.05	0.05	0.05	0.05	0.05	0.05
A2ML1	4	0.05	2	33	47	62
A3GALT2	0.05	1	0.05	0.05	0.05	0.05
A4GALT	61	69	57	112	47	95
A4GNT	0.05	0.05	0.05	1	1	0.05
AAAS	325	283	372	703	678	621
AACS	369	411	405	554	489	537
AADAC	0.05	0.05	0.05	0.05	0.05	0.05
AADACL2	0.05	0.05	0.05	0.05	0.05	0.05
AADACL3	0.05	0.05	0.05	12	9	11
AADACL4	1	1	0.05	1	0.05	0.05
AADAT	191	181	157	225	165	118
AAED1	100	111	99	54	51	45
AAGAB	574	590	611	845	732	684
AAK1	911	838	924	985	879	854
AAMDC	60	45	67	95	89	96
AAMP	666	664	779	1288	1658	1471
AANAT	2	3	0.05	2	5	2
AAR2	341	334	355	455	452	431
AARD	2	1	1	14	14	16
AARS	879	1005	1148	3223	4294	3860
AARS2	225	208	256	547	591	528
AARSD1	52.667	50	63	141.667	138	421
AASDH	88	98	115	298	217	171
AASDHPPT	786	690	789	790	779	721
AASS	310	246	246	5924	5508	5655
AATF	633	593	751	1161	1308	1229
AATK	28	21	34	21	20	23
AATK-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ABAT	172	101	80	146	120	148
ABCA1	677	377	434	1448	1548	1628
ABCA2	179	123	154	87	68	71
ABCA3	40	44	75	259	202	213
ABCA4	158	179	198	2	2	2
ABCA5	210	205	202	55	65	55
ABCA6	0.05	0.05	0.05	0.05	0.05	0.05
ABCA7	136	101	132	251	218	212
ABCA8	0.05	0.05	0.05	0.05	0.05	1
ABCA9	2	0.05	2	0.05	2	0.05
ABCA10	0.05	3	6	1	1	1
ABCA12	48	43	42	0.05	0.05	1
ABCA13	3	1	0.05	7	4	3
ABCB1	2	0.05	3	6	5	4
ABCB4	15	4	11	1	1	1
ABCB5	0.05	0.05	0.05	0.05	0.05	0.05
ABCB6	223	210	247	289	451	367
ABCB7	186	182	192	603	474	487
ABCB8	399	297	408	273	337	298
ABCB9	43	39	49	34	30	37
ABCB10	361	358	335	288	311	297
ABCB11	1	0.05	2	0.05	0.05	0.05
ABCC1	691	555	571	1187	966	995
ABCC2	9	7	9	10	10	15
ABCC3	3	8	2	3	2	2
ABCC4	200	156	110	233	167	138
ABCC5	364	344	378	856	754	708
ABCC5-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ABCC6	12	5	10	2	5	9
ABCC8	0.05	0.05	0.05	19	22	14
ABCC9	0.05	3	1	0.05	0.05	0.05
ABCC10	426	352	437	253	250	219
ABCC11	0.05	2	0.05	3	6	4
ABCC12	0.05	0.05	0.05	1	0.05	1
ABCD1	143	162	177	61	80	63
ABCD2	2	1	0.05	0.05	0.05	0.05
ABCD3	905	881	956	587	516	547
ABCD4	305	234	265	697	622	574
ABCE1	847	815	857	2203	2396	2131
ABCF1	996	927	1102	2316	2153	2040
ABCF2	505	553	564	859	1064	878
ABCF3	356	322	396	524	645	547
ABCG1	3	1	5	47	23	44
ABCG2	250	346	258	42	91	64
ABCG4	1	1	1	5	15	17
ABCG5	0.05	0.05	0.05	0.05	1	1
ABCG8	0.05	0.05	0.05	0.05	0.05	0.05
ABHD1	0.05	0.05	0.05	4	2	2
ABHD2	870	850	907	561	452	499
ABHD3	166	139	158	94	87	108
ABHD4	375	508	472	667	884	753
ABHD5	287	332	333	354	343	368
ABHD6	38	32	39	47	40	45
ABHD8	59	73	70	201	172	181
ABHD10	199	171	157	303	297	292
ABHD11	99	96	96	222	240	207
ABHD12	648	626	724	657	842	750
ABHD12B	3	2	1	7	17	9
ABHD13	335	294	329	270	208	214
ABHD14A	46	31	27	26	28	27
ABHD14A-ACY1	0.05	0.05	0.05	0.05	0.05	0.05
ABHD14B	107	123	156	58	77	67
ABHD15	167	156	167	17	21	18
ABHD16A	404	351	441	356	357	335
ABHD16B	30	26	30	33	41	33
ABHD17A	207	201	252	189	199	150
ABHD17B	239	167	214	961	777	781
ABHD17C	144	210	224	314	214	213
ABI1	920	1069	1116	648	540	612
ABI2	644	587	639	1718	1542	1530
ABI3	0.05	0.05	0.05	14	20	13
ABI3BP	7	7	8	1	2	2
ABL1	838	740	952	2423	1936	1956
ABL2	713	656	773	478	345	332
ABLIM1	874	1022	1003	916	724	703
ABLIM2	3	1	8	26	15	16
ABLIM3	126	108	106	3	5	4
ABO	5	0.05	0.05	0.05	0.05	0.05
ABR	838	740	813	482	409	391
ABRA	1	0.05	0.05	0.05	0.05	0.05
ABRACL	508	554	558	1405	1273	1381
ABT1	229	267	255	403	457	388
ABTB1	58	38	47	50	29	32
ABTB2	584	588	724	138	155	118
ACAA1	382	351	358	262	305	291
ACAA2	471	469	519	1332	1204	1298
ACACA	747	819	934	1549	1289	1213
ACACB	25	25	19	177	131	119
ACAD8	148	128	144	667	658	563
ACAD9	333	273	300	423	365	378
ACAD10	199	160	190	220	186	208
ACAD11	187	136	146	187	271	210
ACADL	32	58	42	13	7	6
ACADM	374	377	424	1183	1166	1093
ACADS	26	29	36	30	48	31
ACADSB	155	113	138	442	302	298
ACADVL	2897	2636	3053	1856	1944	1598
ACAN	4	0.05	0.05	21	9	22
ACAP1	7	8	8	51	51	61
ACAP2	725	730	748	957	968	798
ACAP3	737	584	657	469	373	363
ACAT1	226	209	246	572	568	560
ACAT2	266	323	374	612	507	502
ACBD3	1333	1317	1283	727	759	654
ACBD4	29	34	24	72	62	54
ACBD5	453	518	509	440	473	380
ACBD6	250	310	352	530	608	595
ACBD7	10	9	15	208	140	133
ACCS	53	51	53	38	17	22
ACCSL	0.05	0.05	0.05	1	0.05	0.05
ACD	118	88	118	319	365	325
ACE	8	6	20	48	41	67
ACE2	124	73	75	3	6	6
ACER1	0.05	0.05	1	1	0.05	0.05
ACER2	68	77	64	101	59	57
ACER3	379	389	390	263	206	205
ACHE	367	361	391	62	93	98
ACIN1	1747	1523	1891	5679	4310	4881
ACKR2	129	134	115	1	0.05	0.05
ACKR3	2962	3228	3734	69	31	32
ACKR4	0.05	1	1	3	1	1
ACLY	2296	2285	2443	3078	2488	2583
ACMSD	3	1	0.05	0.05	1	3
ACN9	41	52	42	135	151	161
ACO1	373	449	449	686	731	704
ACO2	436	428	567	637	783	618
ACOT1	54	69	84	27	21	34
ACOT2	135	120	162	72	41	73
ACOT4	14	15	10	13	14	14
ACOT6	0.05	0.05	0.05	2	3	0.05
ACOT7	361	312	387	609	621	624
ACOT8	70	55	72	187	171	156
ACOT9	851	849	876	665	757	695
ACOT11	50	43	74	85	58	52
ACOT12	0.05	0.05	0.05	1	1	2
ACOT13	236	251	278	743	885	812
ACOX1	669	635	691	515	656	560
ACOX2	2	1	1	8	14	17
ACOX3	204	247	270	84	57	69
ACOXL	2	6	6	321	182	265
ACP1	941	941	1028	1510	1255	1362
ACP2	586	571	639	282	379	279
ACP5	5	1	4	54	81	55
ACP6	60	50	58	184	167	161
ACPL2	212	190	239	675	418	461
ACPP	13	8	8	2	1	3
ACPT	1	0.05	0.05	0.05	2	0.05
ACR	1	1	3	0.05	1	0.05
ACRBP	2	2	3	9	18	7
ACRC	20	20	21	44	57	48
ACRV1	0.05	0.05	0.05	7	5	5
ACSBG1	0.05	0.05	0.05	22	15	15
ACSBG2	1	0.05	2	2	3	1
ACSF2	252	227	246	96	75	81
ACSF3	117	97	116	165	151	144
ACSL1	408	545	582	65	98	83
ACSL3	2721	3245	3427	1044	832	794
ACSL4	3581	3802	3522	985	868	858
ACSL5	7	10	9	2	1	2
ACSL6	3	0.05	1	4	12	10
ACSM1	8	5	3	4	2	2
ACSM2A	0.05	0.05	0.05	0.05	0.05	0.05
ACSM2B	0.05	0.05	0.05	0.05	0.05	0.05
ACSM3	28	23	29	13	22	20
ACSM4	0.05	0.05	0.05	2	0.05	0.05
ACSM5	0.05	0.05	0.05	0.05	1	0.05
ACSS1	5	4	3	37	19	19
ACSS2	219	214	263	167	115	144
ACSS3	141	175	169	677	446	581
ACTA1	536	339	338	128	386	235
ACTA2	5586	6076	6741	60	46	40
ACTA2-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ACTB	13158	11493	12307	12553	14056	13008
ACTBL2	40	26	34	0.05	0.05	0.05
ACTC1	18787	19378	22103	189	288	215
ACTG1	18924	18659	19864	10680	12467	11540
ACTG2	294	172	166	65	75	75
ACTL6A	460	529	579	1019	976	985
ACTL6B	0.05	0.05	0.05	3	2	5
ACTL7A	0.05	0.05	0.05	0.05	0.05	0.05
ACTL7B	0.05	0.05	0.05	0.05	0.05	0.05
ACTL8	1	0.05	0.05	14	11	12
ACTL9	0.05	0.05	0.05	0.05	0.05	0.05
ACTL10	10	12	8	5	7	1
ACTN1	14882	15887	18131	5347	6131	5384
ACTN1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ACTN2	4	5	12	15	24	16
ACTN3	0.05	0.05	0.05	0.05	0.05	0.05
ACTN4	10855	11555	13124	2916	3244	3007
ACTR1A	1568	1573	1745	1673	1711	1549
ACTR1B	634	653	699	372	418	388
ACTR2	4789	4930	5004	4733	4163	4338
ACTR3	4993	5413	5541	2530	2698	2662
ACTR3B	44	38	38	228	241	234
ACTR3C	28	27	18	65	51	41
ACTR5	89	74	90	219	231	204
ACTR6	209	214	202	464	458	372
ACTR8	415	424	421	466	470	412
ACTR10	771	888	809	554	573	511
ACTRT1	0.05	0.05	0.05	0.05	0.05	0.05
ACTRT2	0.05	0.05	0.05	2	1	1
ACTRT3	37	35	40	105	115	119
ACVR1	396	370	439	196	250	197
ACVR1B	345	331	363	475	322	381
ACVR1C	5	6	7	12	6	11
ACVR2A	480	555	656	269	224	262
ACVR2B	537	491	598	2113	1590	1685
ACVR2B-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ACVRL1	9	0.05	1	0.05	0.05	0.05
ACY1	92	104	108	238	267	292
ACY3	0.05	0.05	0.05	0.05	0.05	0.05
ACYP1	36	45	30	70	56	63
ACYP2	32	34	46	22	19	27
ADA	138	83	79	90	82	115
ADAD1	0.05	0.05	0.05	0.05	0.05	0.05
ADAD2	0.05	0.05	0.05	1	4	2
ADAL	52	56	75	171	153	123
ADAM2	0.05	0.05	0.05	0.05	0.05	0.05
ADAM7	0.05	0.05	0.05	0.05	0.05	0.05
ADAM8	77	37	43	20	18	28
ADAM9	5724	6074	5893	322	344	316
ADAM10	6119	6809	6977	1977	1489	1634
ADAM11	7	4	7	102	78	82
ADAM12	361	110	138	6	8	6
ADAM15	392	273	281	243	230	259
ADAM17	706	787	793	575	535	499
ADAM18	4	3	1	0.05	0.05	0.05
ADAM19	7878	6926	8020	191	110	158
ADAM20	0.05	0.05	0.05	1	5	2
ADAM21	5	3	4	4	2	4
ADAM22	36	18	18	270	192	208
ADAM23	43	24	21	517	369	390
ADAM28	5	17	7	1	1	0.05
ADAM29	0.05	0.05	0.05	0.05	0.05	0.05
ADAM30	0.05	0.05	0.05	0.05	0.05	0.05
ADAM32	6	2	3	2	2	2
ADAM33	137	55	93	29	15	17
ADAMDEC1	0.05	0.05	0.05	0.05	0.05	0.05
ADAMTS1	1283	1541	1448	43	49	49
ADAMTS2	630	617	683	79	46	60
ADAMTS3	146	185	165	86	69	61
ADAMTS4	8	0.05	0.05	48	34	33
ADAMTS5	83	80	59	0.05	1	6
ADAMTS6	683	659	1021	26	8	22
ADAMTS7	285	198	218	282	225	226
ADAMTS8	3	1	0.05	30	63	60
ADAMTS9	2668	2683	4350	8	6	4
ADAMTS9-AS2	0.05	0.05	0.05	0.05	0.05	0.05
ADAMTS10	128	69	125	58	44	54
ADAMTS12	2833	2637	2181	416	219	241
ADAMTS13	47	23	67	137	85	98
ADAMTS14	66	21	36	56	18	30
ADAMTS15	257	113	119	32	33	20
ADAMTS16	26	25	33	202	221	207
ADAMTS17	13	4	10	20	19	22
ADAMTS18	1756	2310	3534	20	11	17
ADAMTS19	96	23	42	455	254	320
ADAMTS20	22	14	21	38	27	36
ADAMTSL1	19	20	16	4	5	5
ADAMTSL2	10	2	6	20	25	22
ADAMTSL3	34	38	75	25	23	19
ADAMTSL4	832	783	751	46	30	47
ADAMTSL5	98	91	79	5	3	5
ADAP1	50	31	43	26	26	28
ADAP2	6	2	3	2	4	4
ADAR	2473	2566	2921	7080	6211	6039
ADARB1	358	357	345	395	161	227
ADARB2	0.05	0.05	1	5	3	11
ADARB2-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ADAT1	161	185	196	290	274	209
ADAT2	38	23	34	158	153	128
ADAT3	28	24	17	84	67	78
ADC	19	9	11	2	8	10
ADCK1	52	49	58	127	143	142
ADCK2	270	296	347	145	165	164
ADCK3	41	26	40	439	404	360
ADCK4	213	197	209	250	259	236
ADCK5	90	95	85	46	37	40
ADCY1	21	23	27	607	775	764
ADCY2	11	1	5	435	405	439
ADCY3	283	238	237	350	359	371
ADCY4	6	9	13	0.05	1	1
ADCY5	23	14	29	97	153	123
ADCY6	1105	1073	1269	708	417	413
ADCY7	648	508	581	104	85	81
ADCY8	1	0.05	0.05	4	8	8
ADCY9	258	273	291	190	162	207
ADCY10	11	21	21	1	4	2
ADCYAP1	1	0.05	0.05	0.05	2	0.05
ADCYAP1R1	1	0.05	0.05	243	69	91
ADD1	2284	2404	2603	2142	1963	1933
ADD2	8	6	4	761	901	756
ADD3	2083	2339	2485	1393	1481	1342
ADD3-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ADGB	0.05	0.05	0.05	0.05	0.05	0.05
ADH1A	0.05	3	0.05	1	1	1
ADH1B	0.05	0.05	0.05	0.05	0.05	0.05
ADH1C	0.05	0.05	0.05	0.05	0.05	0.05
ADH4	1	1	0.05	0.05	0.05	0.05
ADH5	1341	1441	1456	2899	2850	2799
ADH6	6	0.05	2	4	3	3
ADH7	0.05	0.05	0.05	0.05	0.05	0.05
ADHFE1	51	34	50	32	22	15
ADI1	726	766	706	840	827	787
ADIG	0.05	0.05	0.05	0.05	0.05	0.05
ADIPOQ	1	0.05	0.05	0.05	1	1
ADIPOQ-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ADIPOR1	866	927	936	703	960	833
ADIPOR2	930	1024	1097	708	619	587
ADIRF	8	2.61	1	6	4.653	1
ADK	464	514	422	368	336	357
ADM	222	203	198	641	758	696
ADM2	155	241	239	135	159	195
ADM5	4	6	4	30	35	33
ADNP	1536	1353	1524	3210	2605	2469
ADNP2	337	356	355	1077	856	884
ADO	391	350	363	601	651	599
ADORA1	49	24	23	12	11	8
ADORA2A	7	9	6	34	28	40
ADORA2A-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ADORA2B	26	25	31	9	11	12
ADORA3	0.05	0.05	0.05	0.05	0.05	0.05
ADPGK	592	512	623	497	473	477
ADPGK-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ADPRH	83	87	123	108	80	107
ADPRHL1	32	13	27	40	28	42
ADPRHL2	177	187	201	240	275	240
ADPRM	34	51	41	52	47	43
ADRA1A	0.05	0.05	0.05	9	21	8
ADRA1B	267	240	304	1	0.05	0.05
ADRA1D	2	1	2	1	2	3
ADRA2A	11	7	9	1153	1255	1833
ADRA2B	1	3	0.05	53	25	47
ADRA2C	16	14	11	65	60	69
ADRB1	2	2	2	1	1	1
ADRB2	1	0.05	0.05	1	2	1
ADRB3	5	1	0.05	1	0.05	0.05
ADRBK1	525	474	577	588	621	577
ADRBK2	164	237	234	707	623	592
ADRM1	717	694	815	1278	2091	1674
ADSL	480	431	525	1727	1810	1703
ADSS	849	875	877	2301	1961	1820
ADSSL1	19	10	15	43	47	47
ADTRP	22	32	28	5	1	0.05
AEBP1	1159	803	918	362	480	415
AEBP2	356	334	347	967	1116	1114
AEN	607	593	701	1358	1433	1455
AES	991	1108	1178	1004	1162	1295
AFAP1	1399	1604	1481	434	275	284
AFAP1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
AFAP1L1	43	23	27	24	17	24
AFAP1L2	1299	1481	1570	55	27	35
AFF1	547	516	553	1388	1362	1335
AFF2	58	60	79	428	448	366
AFF3	186	306	394	12	16	13
AFF4	2617.758	2801	3068.87	2038.581	1737.522	1595
AFG3L2	762	798	840	1813	1827	1737
AFM	0.05	0.05	0.05	1	0.05	0.05
AFMID	68	66	64	194	163	159
AFP	15	5	3	24	48	44
AFTPH	340	387	365	391	403	416
AGA	307	371	391	160	164	157
AGAP1	388	351	423	759	583	579
AGAP1-IT1	0.05	0.05	0.05	0.05	0.05	0.05
AGAP2	1	1	2	17	17	15
AGAP2-AS1	0.05	0.05	0.05	0.05	0.05	0.05
AGAP3	835	816	955	284	291	317
AGAP4	69	61	47	102	95	101
AGAP5	34	29	36	69	50	36
AGAP6	96	75	81	150	109	124
AGAP7	28	26	17	43	32	44
AGAP8	53	37	39	83	68	60
AGAP9	27	31	33	35	34	27
AGAP10	51	42	32	52	31	37
AGAP11	14	12.39	8	11	16.347	22
AGBL1	0.05	0.05	0.05	0.05	0.05	0.05
AGBL1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
AGBL2	8	13	7	31	21	22
AGBL3	2	1	1	10	13	17
AGBL4	0.05	0.05	1	2	1	2
AGBL5	443	486	435	781	706	650
AGER	28	43	25	69	49	43
AGFG1	774	798	937	1722	1508	1496
AGFG2	64	41	52	92	66	77
AGGF1	524	447	502	772	582	589
AGK	244	236	305	382	411	389
AGL	412	444	465	826	584	597
AGMAT	3	5	11	66	90	93
AGMO	1	3	2	3	5	13
AGO1	622	597	661	1048	1000	942
AGO2	145	195	224	386	336	359
AGO3	106	132	101	166	176	129
AGO4	364	392	383	251	181	204
AGPAT1	956	823	978	1062	1127	1030
AGPAT2	163	150	164	144	137	184
AGPAT3	704	702	848	128	138	148
AGPAT4	426	242	249	545	362	454
AGPAT4-IT1	0.05	0.05	0.05	0.05	0.05	0.05
AGPAT5	436	376	452	1866	1768	1686
AGPAT6	1189	1136	1182	1002	1006	1025
AGPAT9	28	31	22	28	85	48
AGPS	812	847	845	1613	1557	1392
AGR2	9	8	23	0.05	0.05	0.05
AGR3	1	0.05	2	0.05	0.05	0.05
AGRN	6861	5943	6764	1935	1176	1402
AGRP	0.05	0.05	0.05	0.05	0.05	0.05
AGT	8	1	5	0.05	1	0.05
AGTPBP1	415	382	447	1092	1068	898
AGTR1	6	5	5	1	3	1
AGTR2	0.05	0.05	0.05	0.05	0.05	0.05
AGTRAP	137	139	172	321	348	321
AGXT	0.05	0.05	0.05	0.05	0.05	0.05
AGXT2	0.05	0.05	0.05	0.05	0.05	0.05
AHCTF1	620.857	584.902	646.472	1034.575	1076.715	967.481
AHCY	1240	1115	1207	3154	3377	3450
AHCYL1	1217	1146	1266	2242	1915	1947
AHCYL2	247	274	279	555	422	457
AHDC1	1091	938	1071	619	425	506
AHI1	159	190	195	199	195	153
AHNAK	16123	17016	21019	888	176	233
AHNAK2	586	462	406	72	61	43
AHR	522	378	414	96	104	90
AHRR	43.333	46.667	47.333	60.333	49.667	38.333
AHSA1	748	815	835	1388	1788	1670
AHSA2	446	397	394	399	262	295
AHSG	0.05	0.05	0.05	1	0.05	0.05
AHSP	0.05	0.05	0.05	5	7	14
AICDA	0.05	0.05	1	3	4	0.05
AIDA	621	643	581	1104	990	947
AIF1	0.05	0.05	2	6	22	10
AIF1L	226	261	276	1422	1017	1307
AIFM1	517	511	644	1264	1130	1148
AIFM2	77	68	91	136	264	177
AIFM3	5	3	2	30	7	21
AIG1	142	135	144	309	300	376
AIM1	80	10	13	311	287	313
AIM1L	356	226	250	65	52	50
AIM2	23	26	65	21	5	18
AIMP1	461	465	519	724	785	703
AIMP2	109	109	118	287	292	255
AIP	230	228	277	155	200	175
AIPL1	0.05	0.05	0.05	0.05	3	6
AIRE	0.05	0.05	0.05	10	16	8
AIRN	0.05	0.05	0.05	0.05	0.05	0.05
AJAP1	10	3	1	42	34	60
AJUBA	1013	1114	1219	601	591	628
AK1	126	78	106	130	111	122
AK2	559	524	569	981	1022	891
AK3	696	737	783	747	633	662
AK4	133	108	96	146	350	368
AK5	2	9	6	44	60	53
AK7	4	2	3	30	25	20
AK8	8	1	3	8	4	2
AK9	35	30	42	58	42	36
AKAP1	292	267	278	1004	891	897
AKAP2	1553.4	1625.8	1560.9	627.6	398.4	392.3
AKAP3	7	3	12	35	23	29
AKAP4	2	0.05	0.05	0.05	0.05	0.05
AKAP5	223	202	231	63	43	58
AKAP6	44	39	39	22	35	27
AKAP7	57	60	73	93	123	86
AKAP8	340	289	303	657	618	645
AKAP8L	512	448	482	962	882	853
AKAP9	1342	1365	1453	900	683	709
AKAP10	296	278	342	367	321	302
AKAP11	860	918	912	841	677	786
AKAP12	3275	2794	2382	2678	2686	2546
AKAP13	1116	1016	1280	854	673	670
AKAP14	0.05	0.05	0.05	2	0.05	0.05
AKAP17A	334	330	354	391	454	401
AKAP17A	371	274	300	370	401	369
AKIP1	123	113	114	110	128	105
AKIRIN1	1869	1712	1842	7609	9250	8988
AKIRIN2	462	398	432	676	751	578
AKNA	218	251	263	427	430	489
AKNAD1	0.05	0.05	0.05	0.05	0.05	0.05
AKR1A1	580	616	663	1084	1282	1222
AKR1B1	413	271	246	1005	1124	1190
AKR1B10	5	0.05	0.05	0.05	1	0.05
AKR1B15	29	0.05	0.05	0.05	0.05	0.05
AKR1C1	6	8	2	12	9	15
AKR1C2	4	16	4	5	7	5
AKR1C3	0.05	0.05	1	4	13	5
AKR1C4	3	0.05	1	0.05	1	0.05
AKR1D1	0.05	0.05	0.05	0.05	0.05	1
AKR1E2	22	18	22	27	22	22
AKR7A2	284	230	277	203	247	251
AKR7A3	9	1	4	7	4	6
AKT1	1684	1617	1845	715	800	726
AKT1S1	463	400	467	674	778	716
AKT2	761	668	810	1276	1202	1154
AKT3	911	1093	1066	387	337	327
AKTIP	263	335	338	174	151	123
ALAD	400	305	412	202	143	136
ALAS1	365	357	335	491	500	474
ALAS2	1	0.05	0.05	0.05	2	1
ALB	0.05	1	2	1	0.05	1
ALCAM	3753	3150	3595	1034	575	690
ALDH1A1	15	0.05	0.05	3	8	7
ALDH1A2	3	12	11	3	9	0.05
ALDH1A3	175	148	136	76	78	80
ALDH1B1	766	848	1011	764	788	692
ALDH1L1	0.05	0.05	0.05	21	9	14
ALDH1L1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ALDH1L1-AS2	0.05	0.05	0.05	0.05	0.05	0.05
ALDH1L2	388	452	401	103	87	108
ALDH2	324	297	233	688	729	674
ALDH3A1	1	0.05	0.05	5	3	9
ALDH3A2	220	196	186	1408	1791	1536
ALDH3B1	11	8	7	11	8	10
ALDH3B2	21	23	18	6	0.05	2
ALDH4A1	197	183	184	492	421	478
ALDH5A1	76	92	84	114	80	94
ALDH6A1	118	89	109	533	414	456
ALDH7A1	487	472	480	1040	919	1012
ALDH8A1	2	1	0.05	0.05	0.05	1
ALDH9A1	447	445	478	998	1025	1072
ALDH16A1	213	153	163	613	700	630
ALDH18A1	1760	1586	1830	1754	1647	1626
ALDOA	3833	4059	4444	8224	9639	9074
ALDOB	0.05	0.05	0.05	0.05	0.05	1
ALDOC	10	12	12	174	216	216
ALG1	129	114	117	172	189	148
ALG1L	3	3	6	31	35	29
ALG1L2	0.05	1	0.05	3	5	1
ALG2	455	515	556	442	405	403
ALG3	225	209	234	418	462	452
ALG5	296	259	299	232	195	156
ALG6	221	225	217	493	524	480
ALG8	376	325	347	849	628	699
ALG9	381	400	393	284	257	277
ALG10	61	83	77	127	116	99
ALG10B	182	163	225	185	125	129
ALG11	192.061	159.62	191.871	123.519	104.804	126.874
ALG12	258	210	258	276	329	257
ALG13	459	572	576	904	844	776
ALG14	79	61	73	40	55	59
ALK	3	1	7	0.05	4	6
ALKBH1	110	99	112	229	263	212
ALKBH2	55	53	75	141	145	150
ALKBH3	103	84	105	120	128	121
ALKBH3-AS1	0.05	0.05	0.05	0.05	0.05	0.05
ALKBH4	64	70	49	130	142	151
ALKBH5	520	538	563	584	653	678
ALKBH6	63	53	61	86	167	97
ALKBH7	191	203	249	284	345	323
ALKBH8	110	111	121	297	278	297
ALLC	0.05	0.05	0.05	0.05	0.05	0.05
ALMS1	454	454	545	1467	1334	1229
ALOX5	28	25	17	4	14	11
ALOX5AP	49	36	51	0.05	0.05	1
ALOX12	7	4	3	24	40	25
ALOX12B	0.05	0.05	0.05	7	2	2
ALOX15	92	89	204	3	9	12
ALOX15B	0.05	0.05	0.05	0.05	1	3
ALOXE3	18	11	8	1	3	2
ALPI	0.05	0.05	0.05	1	0.05	0.05
ALPK1	27	29	26	5	3	3
ALPK2	1365	792	1126	6	7	3
ALPK3	392	400	448	421	293	307
ALPL	18	12	6	2691	2119	2438
ALPP	17	17	8	24	13	13
ALPPL2	1	5	0.05	53	44	44
ALS2	629	596	613	987	942	873
ALS2CL	585	516	390	84	72	79
ALS2CR11	4	3	0.05	0.05	2	4
ALS2CR12	4	4	5	2	4	3
ALX1	19	28	26	31	53	43
ALX3	24	15	14	20	33	27
ALX4	13	1	2	0.05	0.05	0.05
ALYREF	649	580	725	1732	1863	1640
AMACR	113	107	109	156	141	145
AMBN	0.05	0.05	0.05	0.05	1	0.05
AMBP	0.05	2	0.05	16	19	15
AMBRA1	339	315	384	557	578	642
AMD1	644	659	606	2671	2253	2342
AMDHD1	1	1	0.05	8	2	5
AMDHD2	47	52	45	305	372	338
AMELX	0.05	0.05	0.05	0.05	0.05	0.05
AMELY	0.05	0.05	0.05	0.05	0.05	0.05
AMER1	118	160	211	390	277	272
AMER2	36	55	58	29	3	9
AMER3	0.05	0.05	0.05	26	9	11
AMFR	912	1006	1147	428	427	455
AMH	14	6	13	26	19	26
AMHR2	0.05	0.05	0.05	0.05	0.05	1
AMICA1	0.05	0.05	0.05	3	0.05	3
AMIGO1	7	9	11	38	38	40
AMIGO2	320	122	125	26	21	21
AMIGO3	58	41	39	58	51	55
AMMECR1	575	568	621	1357	1324	1158
AMMECR1L	603	677	694	575	544	483
AMN	3	1	0.05	0.05	0.05	1
AMN1	62	37	61	141	172	181
AMOT	10234	15122	19063	490	283	287
AMOTL1	1941	2069	2423	434	343	319
AMOTL2	1858	1900	2495	327	371	225
AMPD1	0.05	1	0.05	0.05	0.05	0.05
AMPD2	569	432	504	307	378	327
AMPD3	136	152	136	47	42	45
AMPH	7	7	4	120	75	90
AMT	115	104	118	486	434	396
AMTN	0.05	0.05	0.05	0.05	0.05	0.05
AMY1A	3	1	3	2	0.05	0.05
AMY1B	1	4	2	1	3	0.05
AMY1C	1	0.05	1	0.05	0.05	1
AMY2A	1	3	2	0.05	4	0.05
AMY2B	71	44.57	29.75	20	15.375	77
AMZ1	13	14	13	5	16	7
AMZ2	449	488	527	587	705	711
ANAPC1	375	339	436	1371	1291	1190
ANAPC2	270	225	244	369	369	317
ANAPC4	250	221	235	504	471	470
ANAPC5	929	926	935	1310	1439	1414
ANAPC7	444	378	439	1132	1154	1064
ANAPC10	75	88	73	124	141	109
ANAPC11	394	310	383	464	489	486
ANAPC13	563	612	503	406	429	408
ANAPC15	49	40	38	66	73	78
ANAPC16	595	624	687	759	776	752
ANG	20.5	19	20.833	8	10	21
ANGEL1	227	216	229	350	268	286
ANGEL2	233	275	247	692	611	606
ANGPT1	20	38	13	20	110	91
ANGPT2	5	2	2	4	3	6
ANGPT4	0.05	1	0.05	0.05	0.05	0.05
ANGPTL1	1	0.05	3	3	1	2
ANGPTL2	158	27	46	210	96	136
ANGPTL3	3	0.05	0.05	0.05	1	1
ANGPTL4	233	94	128	13	4	8
ANGPTL5	0.05	0.05	2	1	0.05	0.05
