ORF	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3
FBLN2	253	131	132	72	109	87
FBLN5	224	182	170	2	6	11
FBLN7	7	4	2	0.05	3	0.05
FBN1	8525	11360	10160	126	103	103
FBN2	7432	8141	6487	785	267	313
FBN3	246	172	307	827	697	740
FBP1	2	1	0.05	18	25	16
FBP2	3	3	2	6	10	4
FBRS	515	429	548	167	165	166
FBRSL1	430	346	452	1198	1004	1095
FBXL2	163	149	117	67	59	63
FBXL3	626	619	645	336	238	277
FBXL4	144	175	161	143	138	101
FBXL5	1048	1094	1106	1225	1144	1151
FBXL6	157	83.985	119.802	176.872	264	279.555
FBXL7	283	262	285	641	516	588
FBXL8	38	27	29	0.05	0.333	0.05
FBXL12	222	207	203	244	226	208
FBXL13	7	2	6	33	31	26
FBXL14	58	43	66	64	80	62
FBXL15	58	39	66	74	86	92
FBXL16	8	2	1	87	63	82
FBXL17	277	285	292	75	101	71
FBXL18	341	310	317	295	285	247
FBXL19	523	412	472	958	1046	1012
FBXL19-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FBXL20	196	184	206	246	159	204
FBXL21	8	3	3	5	10	5
FBXL22	3	2	2	11	5	5
FBXO2	353	368	407	361	308	325
FBXO3	465	515	460	417	319	385
FBXO4	58	58	69	8	7	10
FBXO5	143	126	148	584	475	466
FBXO6	34	31	40	10	17	23
FBXO7	868	871	948	833	919	834
FBXO8	143	135	133	111	122	112
FBXO9	389	445	454	615	596	577
FBXO10	130	122	149	371	352	358
FBXO11	1102	1078	1201	1328	1253	1188
FBXO15	0.05	1	2	20	27	17
FBXO16	43	24	37	54	67	56
FBXO17	94	71	93	238	198	216
FBXO18	580	576	698	596	602	536
FBXO21	481	552	552	880	684	724
FBXO22	416	460	442	644	775	671
FBXO22-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FBXO24	4	2	1	13	22	16
FBXO25	106	118	136	184	189	142
FBXO27	34	46	46	73	99	66
FBXO28	474	437	485	986	976	932
FBXO30	503	572	647	1032	848	896
FBXO31	183	191	202	188	168	161
FBXO32	244	178	235	11	5	12
FBXO33	178	178	195	359	294	288
FBXO34	297	257	282	283	250	231
FBXO36	40	33	25	80	101	52
FBXO38	462	492	541	596	554	505
FBXO39	0.05	0.05	0.05	0.05	1	0.05
FBXO40	0.05	0.05	0.05	4	5	3
FBXO41	71	67	79	249	217	227
FBXO42	314	281	313	431	443	414
FBXO43	3	1	3	20	21	13
FBXO44	149	124	161	275	224	260
FBXO45	254	283	256	735	706	779
FBXO46	165	120	156	304	359	297
FBXO47	0.05	0.05	0.05	1	0.05	0.05
FBXO48	18	17	6	16	23	21
FBXW2	692	677	761	855	825	759
FBXW4	227	247	260	400	425	416
FBXW5	629	624	697	481	569	531
FBXW7	217	207	245	310	256	222
FBXW8	312	312	315	319	304	277
FBXW9	70	48	52	82	115	96
FBXW10	9	1	3	0.05	2	0.05
FBXW11	721	766	819	1517	1279	1252
FBXW12	0.05	0.05	0.05	2	1	1
FCAMR	0.05	0.05	0.05	0.05	0.05	0.05
FCAR	0.05	0.05	0.05	0.05	0.05	0.05
FCER1A	0.05	0.05	0.05	0.05	0.05	0.05
FCER1G	3	0.05	2	0.05	1	2
FCER2	0.05	0.05	0.05	1	1	0.05
FCF1	356	366	373	837	799	752
FCGBP	6	3	10	26	23	23
FCGR1A	0.05	1	1	1	0.05	2
FCGR1B	0.05	0.05	0.05	0.05	0.05	0.05
FCGR2A	0.05	0.05	0.05	1	1	2
FCGR2B	0.05	0.05	0.05	0.05	0.05	0.05
FCGR2C	0.05	0.05	0.05	0.05	0.05	0.05
FCGR3A	0.05	0.05	0.05	0.05	1	0.05
FCGR3B	0.05	0.05	0.05	0.05	0.05	0.05
FCGRT	193	158	169	145	150	136
FCHO1	11	2	1	117	72	76
FCHO2	322	360	360	179	168	144
FCHSD1	375	356	355	219	245	248
FCHSD2	204	159	145	306	163	167
FCN1	0.05	0.05	0.05	0.05	0.05	0.05
FCN2	0.05	0.05	0.05	0.05	0.05	0.05
FCN3	0.05	0.05	0.05	1	1	0.05
FCRL1	0.05	0.05	0.05	0.05	0.05	0.05
FCRL2	0.05	0.05	2	0.05	0.05	0.05
FCRL3	0.05	0.05	0.05	0.05	0.05	0.05
FCRL4	0.05	0.05	0.05	0.05	0.05	0.05
FCRL5	0.05	0.05	0.05	9	16	16
FCRL6	0.05	0.05	0.05	0.05	0.05	0.05
FCRLA	0.05	0.05	0.05	0.05	0.05	0.05
FCRLB	6	7	2	1	2	1
FDCSP	0.05	0.05	0.05	0.05	0.05	0.05
FDFT1	1764	2053	2222	1539	1186	1160
FDPS	457	529	542	734	753	744
FDX1	247	261	221	273	256	282
FDX1L	81	62	61	149	206	213
FDXACB1	38	49	52	74	96	67
FDXR	143	134	108	198	249	193
FECH	322	312	358	297	362	353
FEM1A	325	321	347	507	575	563
FEM1B	352	399	420	582	513	420
FEM1C	369	371	409	396	294	309
FEN1	264	200	222	1206	1152	1040
FENDRR	0.05	0.05	0.05	0.05	0.05	0.05
FER	126	112	151	130	155	123
FER1L5	1	0.05	1	9	9	1
FER1L6	2	0.05	0.05	0.05	1	0.05
FER1L6-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FER1L6-AS2	0.05	0.05	0.05	0.05	0.05	0.05
FERD3L	0.05	0.05	0.05	0.05	0.05	0.05
FERMT1	1116	1242	1405	264	237	238
FERMT2	2307	2427	2398	2097	1766	1711
FERMT3	8	5	9	15	15	12
FES	106	109	122	68	83	76
FETUB	1	0.05	0.05	0.05	0.05	1
FEV	0.05	0.05	0.05	1	0.05	0.05
FEZ1	207	175	143	1107	671	760
FEZ2	814	821	879	263	240	207
FEZF1	0.05	0.05	0.05	391	57	138
FEZF1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FEZF2	0.05	0.05	0.05	2	3	3
FFAR1	0.05	0.05	0.05	0.05	0.05	0.05
FFAR2	0.05	0.05	0.05	0.05	0.05	0.05
FFAR3	0.05	0.05	0.05	0.05	0.05	0.05
FFAR4	0.05	0.05	0.05	0.05	0.05	0.05
FGA	6	0.05	0.05	0.05	0.05	0.05
FGB	23	0.05	0.05	0.05	0.05	0.05
FGD1	270	263	302	438	437	449
