id	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3	pval	qval
ENSG00000162517	473.0	519.0	554.0	421.0	515.0	460.0	4.034452050508805e-06	1.1745427302334583e-05
ENSG00000131508	1112.0	1131.0	1182.0	2072.0	1925.0	2124.0	4.040156698002037e-06	1.1760503025954347e-05
ENSG00000168275	79.0	93.0	69.0	201.0	197.0	197.0	4.043439299375504e-06	1.1768525400253242e-05
ENSG00000172171	76.0	83.0	84.0	193.0	194.0	178.0	4.094344243439565e-06	1.1915133586162777e-05
ENSG00000116095	191.0	211.0	207.0	151.0	185.0	152.0	4.096070462030084e-06	1.1918605027993007e-05
ENSG00000168763	223.0	196.0	236.0	415.0	446.0	406.0	4.153291766070297e-06	1.2083532234913803e-05
ENSG00000149806	1024.0	968.0	1086.0	1740.0	2007.0	2116.0	4.167334943751316e-06	1.2122810985161501e-05
ENSG00000105671	270.0	303.0	356.0	582.0	713.0	626.0	4.175340315765539e-06	1.2144517771236822e-05
ENSG00000171680	236.0	201.327	252.028	203.236	120.09100000000001	163.127	4.234664739545815e-06	1.2315467586495358e-05
ENSG00000072657	100.0	116.0	138.0	23.0	69.0	53.0	4.281083596695384e-06	1.2448845170507708e-05
ENSG00000132664	143.0	138.0	133.0	309.0	283.0	275.0	4.289066938187172e-06	1.2470437011146074e-05
ENSG00000206579	102.0	131.0	157.0	95.0	87.0	76.0	4.308010906369156e-06	1.2523887046264021e-05
ENSG00000186395	293.0	266.0	266.0	192.0	240.0	249.0	4.309092517609239e-06	1.2525401988945587e-05
ENSG00000173166	418.0	407.0	427.0	424.0	392.0	409.0	4.309658647938332e-06	1.252541836460891e-05
ENSG00000158195	1368.0	1455.0	1693.0	1443.0	1527.0	1391.0	4.310923240419474e-06	1.252746445431131e-05
ENSG00000117602	242.0	260.0	269.0	239.0	144.0	134.0	4.355215975872702e-06	1.2654532754235765e-05
ENSG00000261308	285.0	208.0	243.0	846.0	473.0	610.0	4.3698440564119805e-06	1.2695385482142295e-05
ENSG00000018510	812.0	847.0	845.0	1613.0	1557.0	1392.0	4.371909415092269e-06	1.2699734784748075e-05
